TITLE,accented lemma,SEARCH LEMMA,DISPLAY LEMMA,English Definition,Decl,Idiom,Reg Adject/Adv/Form,Proper,Part Of Speech,DCC SEMANTIC GROUP,DCC Core Frequency,Herodotus 1 frequency rank,DCC Greek Core,Herodotus Book 1 Core (412 words > 10 times),Homer Core (Frequency Categories 1-4),National Collegiate Greek Exam Core,Fundamental 400 (BiCo Elementary Core),Fine 555 (BiCo Third Semester Core),Splendid 655 (BiCo Fourth Semester Core),Alpha to Omega (Groton),Greek: an Intensive Course (Hansen-Quinn),Introduction to Ancient Greek (Luschnig),Introduction to Attic Greek (Mastronarde 2013),Learn to Read Greek (Keller-Russell)
Ο,ὁ,ο,ὁ ἡ τό,the,,,,,Article,,1,1,1,1,1,,1,1,1,,1,1,4,1
ΑΥΤΟΣ,αὐτός,αυτος,αὐτός –ή –ό,his/her/itself,1,,,,Pronoun,,2,11,1,1,1,1,1,1,1,14,11,9.a,12,6
ΚΑΙ,καί,και,καί,and,,,,,Conjunction,,3,3,1,1,1,1,1,1,1,3,1,1.a,3,1
ΔΕ,δέ,δε,δέ,"but, and",,,,,Conjunction,,4,2,1,1,1,1,1,1,1,10,2,1.b,12,3
ΤΙΣ/2,τίς,τις/2,τίς τί,who? what?,6,,,,Pronoun,,5,5,1,1,3,1,1,1,1,21,15,8.a,15,9
ΕΙΜΙ/1,εἰμί,ειμι/1,"εἰμί, ἔσομαι, impf. ἦν, infin. εἶναι",to be,,,,,Verb,Humanity and Being,6,6,1,1,1,1,1,1,1,12,15,2,10,5
ΟΥΤΟΣ,οὖτος,ουτος,οὗτος αὓτη τοῦτο,this,6,,,,Pronoun,,7,7,1,1,2,1,1,1,1,13,9,3.b,13,2
Η/1,ἤ,η/1,ἤ,or,,,,,Conjunction,,8,61,1,1,1,1,1,1,1,"16,32",2,1.a,31,2
ΕΝ,ἐν,Εν,ἐν,"in, on",,,,,Preposition,,9,12,1,1,1,1,1,1,1,,1,1.b,3,1
ΜΕΝ-ΔΕ,μὲν-δέ,μεν-δε,μέν...δέ,on one hand…on the other,,1,,,Idiom,,10,10,1,,,,,,1,10,2,1.b,,
ΤΙΣ/1,τις,τις/1,τις τι,"anyone, anything, someone something",6,,,,Pronoun,,11,4,1,1,1,1,1,1,1,21,15,8.a,17,9
ΟΣ,ὅς,ος,ὅς ἥ τό,"who, which",1,,,,Pronoun,,12,17,1,1,1,1,1,1,1,23,6,2.a,8,5
ΓΑΡ,γάρ,γαρ,γάρ,for,,,,,Particle,,13,13,1,1,1,1,1,1,1,13,2,1.b,12,3
ΟΥ,οὐ,ου,οὐκ οὐχ οὐκι οὐχι,not,,,,,Adverb,,14,18,1,1,1,1,1,1,1,"3,26",2,2.a,3,2
ΛΕΓΩ,λέγω,λεγω,λέγω λέξω (or ἐρῶ) ἔλεξα (or εἶπον) εἴρηκα λελεγμαι (or εἴρημαι) ἐλέχθην (or ἐρρήθην),"say, mean",,,,,Verb,Communication,15,29,1,1,3,1,1,1,1,10,16,1.a,5,3
ΩΣ,ὡς,ως,ὡς,"as, as if, how; to",,,,,Adverb,,16,15,1,1,1,1,1,1,1,"24,31,32,38,40,45","3,8",7.a,"25,27,32",6
ΤΕ,τε,τε,τε,and,,,,,Conjunction,,17,9,1,1,,1,1,1,1,22,6,4.a,12,5
ΕΙΣ/2,εἰς,εις/2,εἰς,"into, to",,,,,Preposition,,18,8,1,1,1,1,1,1,1,4,1,1.b,3,1
ΕΠΙ,ἐπί,Επι,ἐπί,"on, upon",,,,,Preposition,,19,20,1,1,1,1,1,1,1,14,13,,8,4
ΚΑΤΑ,κατά,κατα,κατά,"against, down",,,,,Preposition,,20,33,1,1,1,1,1,1,1,20,6,6.a,12,5
ΕΓΩ,ἐγώ,Εγω,ἐγώ,I,6,,,,Pronoun,,21,22,1,1,1,1,1,1,1,14,15,9.a,21,6
ΠΡΟΣ,πρός,προς,πρός,"from, at, towards",,,,,Preposition,,22,37,1,1,2,1,1,1,1,17,12,2.a,8,3
ΓΙΓΝΟΜΑΙ,γίγνομαι,γιγνομαι,γίγνομαι γενήσομαι ἐγενόμην γέγονα γεγένομαι –––,"be born, become",,,,,Verb,Humanity and Being,23,19,1,1,2,1,1,1,1,32,13,1.a,11,6
ΕΑΝ,ἐάν,Εαν,ἐάν,"if (εἰ +ἄν), also ἤν",,,,,"Conjunction, Particle",,24,43,1,1,,1,1,1,1,37,4,13,35,12
ΔΙΑ,διά,δια,διά,"through, on account of",,,,,Preposition,,25,102,1,1,2,1,1,1,1,12,3,2.a,6,2
ΑΛΛΑ,ἀλλά,Αλλα,ἀλλά,but,,,,,Conjunction,,26,55,1,1,1,1,1,1,1,6,3,4.a,3,2
ΠAΣ,πᾶς,πᾶς,πᾶς πᾶσα πᾶν,"all, every",3,,,,Adjective,,27,16,1,1,1,1,1,1,1,23,8,6.a,22,6
ΕΧΩ,ἔχω,εχω,ἔχω ἕξω (or σχήσω) ἔσχον ἔσχηκα ––– –––,"have, possess, keep",,,,,Verb,,28,24,1,1,1,1,1,1,1,"6,17",17,1.a,"5,12",4
ΕΚ,ἐκ,Εκ,ἐκ,out of,,,,,Preposition,,29,26,1,1,1,1,1,1,1,4,1,3.b,3,1
ΠΟΛΥΣ,πολύς,πολυς,πολύς (πολλός) πολλή πολύ,"many, much",3,,,,Adjective,,30,41,1,1,"1,3",1,1,1,1,18,16,6.a,25,4
ΠΕΡΙ,περί,περι,περί,"about, concerning; near",,,,,Preposition,,31,65,1,1,2,1,1,1,1,18,3,"2.a,9.a",12,1
ΜΗ,μή,μη,μή,"not, lest",,,,,Adverb,,32,45,1,1,1,1,1,1,1,"3,26,39,45,50",3,4.a,8,2
ΟΣΤΙΣ,ὅστις,οστις,ὅστις ἥτις ὅ τι,"whoever, whatever, anyone one",6,,,,Pronoun,,33,69,1,1,3,,1,1,1,26,18,8.a,34,13
ΑΝ,ἄν,αν,ἄν,conditional particle,,,,,Particle,,34,49,1,1,2,,1,1,1,"36,37",4,6,"32,34,36",9
ΣΥ,σύ,συ,σύ σοῦ σοί σέ,you (sg.),6,,,,Pronoun,,35,27,1,1,1,1,1,1,1,14,15,9.a,21,6
ΑΝΑ,ἀνά,Ανα,ἀνά,"up, upon",,,,,Preposition,,36,46,1,1,2,1,1,1,1,23,,,12,
ΟΤΙ,ὅτι,οτι,ὅτι,"that, because",,,,,Conjunction,,37,109,1,1,4,1,1,1,1,"28,32,40",16,5.a,34,6
ΕΙ,εἰ,εΙ,εἰ,"if, whether",,,,,Conjunction,,38,51,1,1,1,1,1,1,1,26,"4,18",2.a,35,14
ΑΛΛΟΣ,ἄλλος,αλλος,ἄλλος ἄλλη ἄλλο,"other, another",1,,,,Adjective,,39,23,1,1,1,1,1,1,1,22,7,4.a,"16,20",5
ΑΠΟ,ἀπό,Απο,ἀπό,away from,,,,,Preposition,,40,58,1,1,2,1,1,1,1,7,2,3.b,3,2
ΦΗΜΙ,φημί,φημι,φημί φήσω ἔφησα ––– ––– –––,say,,,,,Verb,Communication,41,82,1,1,1,1,1,1,1,41,16,,20,8
ΥΠΟ,ὑπό,υπο,ὑπό,"under, through, beneath",,,,,Preposition,,42,59,1,1,2,1,1,1,1,11,5,3,11,3
ΠΟΙΕΩ,ποιέω,ποιεω,ποιέω ποιήσομαι ἐποιήσα πεποίηκα πεποίημαι ἐποιήθην,"make, produce, cause",,,,,Verb,,43,21,1,1,4,1,1,1,1,16,9,11.a,13,4
ΟΥΝ,οὖν,ουν,οὖν,"therefore, then, in fact",,,,,Adverb,,44,63,1,1,4,1,1,1,1,10,7,4.a,29,6
ΛΟΓΟΣ,λόγος,λογος,λόγος –ου ὁ,"reason, account, word",2,,,,Noun,Communication,45,70,1,1,,1,1,1,1,12,1,1.b,3,1
ΠΑΡΑ,παρά,παρα,παρά,from/by/to the side of,,,,,Preposition,,46,64,1,1,1,1,1,1,1,22,2,1.b,8,5
ΟΥΤΩΣ,οὕτως,ουτως,οὕτως,"in this way, so, thus",,,,,Adverb,,47,48,1,1,4,1,1,1,1,31,9,5.a,13,4
ΠΡΟΤΕΡΟΣ,πρότερος,προτερος,πρότερος –α –ον,"before, in front, earlier",1,,,,Adjective,,48,39,1,1,4,,,1,1,9,19,,10,11
ΘΕΟΣ,θεός,θεος,θεός –οῦ ὁ,god,2,,,,Noun,Religion,49,79,1,1,1,1,1,1,1,7,1,1.b,3,1
ΜΕΤΑ,μετά,μετα,μετά,"among, after, in pursuit of",,,,,Preposition,,50,56,1,1,2,1,1,1,1,19,4,9.a,6,4
ΕΑΥΤΟΥ,ἑαυτοῦ,Εαυτου,ἑαυτοῦ ἑαυτῆς ἑαυτοῦ,of him/her/itself,1,,,,Pronoun,,51,31,1,1,,,1,1,1,19,15,9.a,25,10
ΜΕΓΑΣ,μέγας,μεγας,μέγας μεγάλη μέγα,"big, great",3,,,,Adjective,,52,40,1,1,1,1,1,1,1,25,17,6.a,25,4
ΟΥΔΕ,οὐδέ,ουδε,οὐδέ,"but not, not even",,,,,Particle,,53,118,1,1,1,,1,1,1,22,12,2.a,18,7
ΕΚΕΙΝΟΣ,ἐκεῖνος,Εκεινος,ἐκεῖνος –η –ον,that one,1,,,,Adjective,,54,81,1,1,3,1,1,1,1,13,7,3.b,13,4
ΤΟΙΟΥΤΟΣ,τοιοῦτος,τοιουτος,τοιοῦτος τοιαύτη τοιοῦτο,"such, such as this",1,,,,Pronoun,,55,128,1,1,4,,1,1,1,31,15,4.a,36,15
ΟΥΔΕΙΣ,οὐδείς,ουδεις,οὑδείς οὑδεμία οὑδέν,"no one, nothing, none",6,,,,Pronoun,,56,52,1,1,,1,1,1,1,30,17,10,25,9
ΕΙΠΟΝ,εἶπον,ειπον,"εἶπο, aor. for λέγω and φημί",said (aor. for λέγω),,,,,Verb,Communication,57,80,1,1,1,1,1,1,1,,,4.a,19,
ΑΓΑΘΟΣ,άγαθός,αγαθος,ἀγαθός –ή –όν,"good, noble",1,,,,Adjective,Characteristics,58,171,1,1,3,1,1,1,1,8,4,2.a,7,2
ΓΕ,γε,γε,γε,at least; yes (emphatic),,,,,Particle,,59,111,1,1,1,1,1,1,1,12,6,4.a,29,5
ΔΗ,δή,δη,δή,"indeed, of course",,,,,Particle,,60,14,1,1,1,1,1,1,1,44,3,4.a,36,4
ΠΟΛΙΣ,πόλις,πολις,πόλις –εως ἡ,city,3,,,,Noun,Government and Society,61,53,1,1,2,1,1,1,1,29,10,5.a,21,7
ΕΙΣ/1,εἷς,εις/1,εἷς μία ἕν,one,6,,,,Number,,62,125,1,1,4,,1,1,1,30,17,0,25,9
ΙΗΜΙ,ἵημι,ιημι,ἵημι ἥσω ἧκα εἷκα εἷμαι εἵθην,"release, utter, send, mid. desire",,,,,Verb,Communication,63,185,1,1,2,1,1,1,1,47,18,12.a,23,16
ΑΝΘΡΩΠΟΣ,ἄνθρωπος,ανθρωπος,ἄνθρωπος –ου ὁ/ἡ,human being,2,,,,Noun,Humanity and Being,64,75,1,1,3,1,1,1,1,7,1,1.b,3,1
ΔΕΩ/1,δέω/1,δεω/1,δέω δεήσω ἐδέησα δεδέηκα δεδέημαι ἐδεήθην,need,,,,,Verb,,64,197,1,1,,,,1,1,,,11.a,13,
ΟΡΑΩ,ὁράω,οραω,ὁράω ὄψομαι εἶδον ἑόρακα (or ἑώρακα) ἑώραμαι (or ὦμμαι) ὤφθην,"to see, look, be able to see",,,,,Verb,The Senses and Feelings,66,133,1,1,1,1,1,1,1,23,15,11.a,"19,30",6
ΜΟΝΟΣ,μόνος,μονος,μόνος –η –ον,"alone, solitary",1,,,,Adjective,,67,116,1,1,,1,1,1,1,18,12,2.a,21,2
ΟΥΤΕ,οὔτε,ουτε,οὔτε...οὔτε,"and not, neither…nor",,,,,Adverb,,68,77,1,1,2,1,1,1,1,22,8,3.a,18,6
ΟΙΟΣ/1,οἶος,οιος/1,οἷος –η –ον,alone,1,,,,Adjective,,69,,1,,3,,,,1,,,,,
ΛΑΜΒΑΝΩ,λαμβάνω,λαμβανω,λαμβάνω λήψομαι ἔλαβον εἴληφα εἴλημμαι ἐλήφθην,"take, seize, receive",,,,,Verb,,70,139,1,1,3,1,1,1,1,19,11,3.a,5,9
ΔΟΚΕΩ,δοκέω,δοκεω,δοκέω δόξα ἔδοξα δέδογμαι –εδόχθην,"think, suppose",,,,,Verb,,71,78,1,1,,,1,1,1,43,17,"4.a,11.a",13,11
ΕΤΕΡΟΣ,ἕτερος,Ετερος,ἕτερος –α –ον,one/the other of two,1,,,,Adjective,,72,114,1,1,4,1,1,1,1,49,14,4.b,19,13
ΚΑΚΟΣ,κακός,κακος,κακός –ή –όν,"bad, cowardly, evil, ugly",1,,,,Adjective,Characteristics,73,152,1,1,2,1,1,1,1,9,4,2.a,7,11
ΑΝΗΡ,ἀνήρ,Ανηρ,ἀνήρ ἀνδρός ὁ,man,3,,,,Noun,Humanity and Being,74,44,1,1,1,1,1,1,1,30,10,5.a,15,6
ΕΠΕΙ,ἐπεί,Επει,"ἐπεί, ἐπείδη",when,,,,,Conjunction,,75,71,1,1,1,,1,1,1,5,3,6,19,15
ΟΣΟΣ,ὅσος,οσος,ὅσος –η –ον,how great/long as great/long as,1,,,,Adjective,,76,92,1,1,2,,,1,1,46,17,,36,15
ΚΑΛΕΩ,καλέω,καλεω,καλέω καλῶ ἐκάλεσα κέκληκα κέκλημαι ἐκλήθην,call,,,,,Verb,Communication,77,67,1,1,3,1,1,1,1,24,10,"4.b,11.a",18,12
ΣΩΜΑ,σῶμα,σωμα,σῶμα –ατος τό,body,3,,,,Noun,Body parts,78,,1,,,1,1,1,1,25,6,5.a,41,5
ΔΕΙ,δεῖ,δει,δεῖ δεήσει impf. ἔδει,there is need of,,,,,Verb,Life and Death,79,217,1,1,,1,1,1,1,43,20,"9.a,11.a",9,5
ΩΣΠΕΡ,ὥσπερ,ωσπερ,ὥσπερ,"just as, even as",,,,,Adverb,,80,,1,,,,,1,1,47,,5.a,27,6
ΔΙΔΩΜΙ,δίδωμι,διδωμι,δίδωμι δώσω ἔδωκε δέδωκα δέδομαι ἐδόθην,"give, grant",,,,,Verb,,81,113,1,1,1,1,1,1,1,46,12,12.a,23,14
ΕΤΙ,ἔτι,ετι,ἔτι,"still, yet, besides, already",,,,,Adverb,,82,101,1,1,2,1,1,1,1,6,14,5.a,20,8
ΦΥΣΙΣ,φύσις,φυσις,φύσις –εως ἡ,"nature, origin",3,,,,Noun,Natural World,83,,1,,,1,1,1,1,37,10,"8.a,8.b",21,7
ΜΙΚΡΟΣ,μικρός,μικρος,μικρός –ά –όν (σμικρός),"small, little, trivial, petty",1,,,,Adjective,,84,,1,,,1,1,1,1,11,5,3.b,7,8
ΔΥΝΑΜΑΙ,δύναμαι,δυναμαι,δύναμαι δυνήσομαι ––– ––– δεδύνημαι ἐδυνήθην,be able to,,,,,Verb,,85,342,1,1,3,1,1,1,1,47,17,12.a,25,10
ΩΣΤΕ,ὥστε,ωστε,ὥστε,"so that, so as to, and so",,,,,"Adverb, Conjunction",,86,179,1,1,4,,,1,1,31,10,,25,15
ΑΡΧΗ,ἀρχή,Αρχη,ἀρχή –ῆς ἡ,"beginning, rule, order",1,,,,Noun,Natural World,87,107,1,1,,1,1,1,1,12,4,1.b,4,2
ΕΚΑΣΤΟΣ,ἕκαστος,Εκαστος,ἕκαστος –η –ον,"each, every one",1,,,,Adjective,,88,103,1,1,2,1,1,1,1,49,16,9.a,,
ΗΜΕΡΑ/ΗΜΑΡ,ἡμέρα/ἧμαρ,ημερα/ημαρ,ἡμέρα –ας ἡ,"day, time",1,,,,Noun,Natural World,89,123,1,1,3,1,1,1,1,23,4,3.b,4,10
ΦΥΩ/ΦΥΤΕΎΩ,φύω/φυτεύω,φυω/φυτεύω,φύω φύσω ἔφυσα (or ἔφυν) πέφυκα ––– –––,"produce, grow, become",,,,,Verb,Natural World,90,,1,,,1,1,1,1,,,8.b,40,13
ΑΠΑΣ,ἅπας,Απας,ἅπας –ασα –αν,each and every,3,,,,Adjective,Measurements and Numerals,91,181,1,1,3,,1,1,1,,8,6.a,22,6
ΟΜΟΙΟΣ,ὅμοιος,ομοιος,ὅμοιος –α –ον or ὁμοῖος –α –ον,"like, resembling, equal",1,,,,Adjective,Characteristics,92,191,1,1,,,1,1,1,48,13,6.a,40,13
ΝΥΝ,νῦν,νυν,νῦν or νύ,"now, as it is",,,,,Adverb,,93,42,1,1,"1,3",1,1,1,1,13,2,2.a,12,3
ΓΗ,γῆ,γη,γῆ γῆς ἡ,"earth, country",1,,,,Noun,Natural World,94,151,1,1,,1,1,1,1,20,5,11.a,38,3
ΔΥΝΑΜΙΣ,δύναμις,δυναμις,δύναμις –εως ἡ,"power, authority, influence",3,,,,Noun,War and Peace,95,379,1,1,,1,1,1,1,47,17,9.a,21,7
ΚΑΛΟΣ,καλός,καλος,καλός –ή –όν,"beautiful, good, fine",1,,,,Adjective,Characteristics,96,220,1,1,2,1,1,1,1,8,4,2.a,7,2
ΚΥΡΙΟΣ/1,κύριος/1,κυριος/1,κύριος –ου ὁ,lord,2,,,,Noun,Government and Society,97,,1,,,1,1,1,1,28,,,,
ΜᾶΛΛΟΝ,μᾶλλον,μᾶλλον,μᾶλλον,"very, exceedingly",,,,,Adverb,,98,200,1,1,4,,,1,1,32,12,,31,10
ΟΔΕ,ὅδε,οδε,ὅδε ἥδε τόδε,"this, that",1,,,,Pronoun,,99,32,1,1,2,,1,1,1,13,9,3.b,13,4
ΟΛΟΣ,ὅλος,ολος,ὅλος –η –ον,"whole, entire, complete",1,,,,Adjective,,100,,1,,,,,1,1,,,"2.a,10.a",40,
ΜΕΡΟΣ,μέρος,μερος,μέρος –ους τό,"part, portion, heritage, destiny",3,,,,Noun,,101,,1,,,1,1,1,1,,,5.a,15,11
ΑΡΑ/1,ἄρα/1,αρα/1,ἄρα,"well then, really",,,,,Particle,,102,,1,,1,,,1,1,47,,4.b,29,9
ΕΜΟΣ,ἐμός,Εμος,ἐμός –ή –όν,my,1,,,,Adjective,,103,73,1,1,2,1,1,1,1,21,15,9.a,22,6
ΧΡΑΟΜΑΙ,χράομαι,χραομαι,χράομαι χρήσομαι ἐχρησάμην κέχρημαι ἐχρήσθην,to use,,,,,Verb,,104,74,1,1,,,,1,1,36,,11.a,31,11
ΔΥΟ,δύο,δυο,δύο,"twofold, double",6,,,,Number,,105,,1,,3,,1,1,1,34,17,0,25,100
ΧΡΟΝΟΣ,χρόνος,χρονος,χρόνος –ου ὁ,time,2,,,,Noun,Natural World,106,90,1,1,,1,1,1,1,23,19,1.b,8,10
ΙΣΟΣ,ἴσος,ισος,ἴσος –η –ον,"equal in size, weight, or number; like",1,,,,Adjective,,107,,1,,4,,,1,1,37,19,,30,8
ΟΤΑΝ,ὅταν,οταν,ὅταν,whenever,,,,,Adverb,,108,,1,,,,,1,1,38,11,,35,15
ΜΟΝΟΝ,μόνον,μονον,μόνον,only,,,,,Adverb,,109,,1,,,,,,1,18,12,,,
ΟΙΔΑ,οἶδα,οιδα,"οἶδα, infin. εἰδέναι, imper. ἴσθι, plupf. used as impf. ᾔδειν",to know,,,,,Verb,,110,176,1,1,2,,1,1,1,28,19,8.b,28,9
ΒΑΣΙΛΕΥΣ,βασίλευς,βασιλευς,βασιλεύς βασιλέως ὁ,king,3,,,,Noun,Government and Society,111,60,1,1,3,1,1,1,1,29,10,5.a,21,10
Ω,ὦ,ω,ὦ ὤ,"Oh!, oh hey",,,,,Interjection,Communication,112,105,1,1,2,,,1,1,4,1,,8,1
ΒΟΥΛΟΜΑΙ,βούλομαι,βουλομαι,βούλομαι βουλήσομαι ––– ––– βεβούλημαι ἐβουλήθην,"wish, be willing",,,,,Verb,The Senses and Feelings,113,95,1,1,,1,1,1,1,30,11,1.a,11,6
ΦΑΙΝΩ,φαίνω,φαινω,φαίνω φανῶ ἔφηνα πέφηνα πέφασμαι ἐφάν(θ)ην,bring to light; appear,,,,,Verb,,114,213,1,1,3,1,1,1,1,35,20,3.a,29,12
ΓΡΑΦΩ,γράφω,γραφω,γράφω γράψω ἔγραψα γέγραφα γέγραμμαι ἐγράφην,"to write, paint",,,,,Verb,Education,115,,1,,,1,1,1,1,3,3,1.a,5,
ΦΕΡΩ,φέρω,φερω,φέρω οἴσω ἤνεγκα ἐνήνοχα ἐνήνεγμαι ἠνέχθην,"bear, carry",,,,,Verb,Locomotion,116,97,1,1,2,1,1,1,1,14,15,1.a,5,9
ΨΥΧΗ,ψυχή,ψυχη,ψυχή –ῆς ἡ,"life, soul",1,,,,Noun,Humanity and Being,117,,1,,4,1,1,1,1,22,1,1.b,4,1
ΜΗΔΕΙΣ,μηδείς,μηδεις,μηδείς μηδεμία μηδέν,"not one, nobody",6,,,,Pronoun,,118,202,1,1,,,1,1,1,30,17,10,25,9
ΑΙΤΙΟΣ,αἴτιος,αιτιος,αἴτιος –α –ον,"blameworthy, culpable",1,,,,Adjective,Law,119,255,1,1,,,,1,1,19,11,,10,
ΠΑΛΙΝ,πάλιν,παλιν,πάλιν,"back, backward; again",,,,,Adverb,,120,,1,,4,,,,1,6,,,33,
ΜΑΛΙΣΤΑ,μάλιστα,μαλιστα,μάλιστα,especially; yes of course,,,,,Adverb,,121,132,1,1,3,,1,1,1,32,17,4.a,31,10
ΥΠΑΡΧΩ,ὑπάρχω,υπαρχω,ὑπάρχω ὑπάρξω ὑπῆρξα ὑπῆρχα ὕπηργμαι ὑπήρχθην,"begin, exist, be sufficient for",,,,,Verb,Humanity and Being,122,,1,,,1,1,1,1,,,7.a,,
ΑΡΧΩΝ,ἄρχων,αρχων,ἄρχων –οντος ὁ,"ruler, archon",3,,,,Noun,Government and Society,123,,1,,,1,1,1,1,38,13,5.a,29,5
ΓΥΝΗ,γυνή,γυνη,γυνή γυναικός ἡ,woman,3,,,,Noun,Humanity and Being,124,54,1,1,2,1,1,1,1,39,11,5.a,21,7
ΠΟΤΕ/2,ποτέ,ποτε/2,ποτέ (ποτ’ ποθ’),"when?; at some time, ever, once",,,,,Particle,,125,,1,,2,,,1,1,26,10,,17,5
ΙΝΑ,ἵνα,ινα,ἵνα,"where; that, in order that",,,,,"Adverb, Conjunction",,126,219,1,1,3,,,1,1,39,3,,32,14
ΟΝΟΜΑ,ὄνομα,ονομα,ὄνομα –ατος τό,"name, reputation",3,,,,Noun,,127,89,1,1,,1,1,1,1,16,9,5.a,17,12
ΥΠΕΡ,ὑπέρ,υπερ,ὑπέρ,"over, beyond",,,,,Preposition,,128,,1,,4,1,1,1,1,20,9,9.a,12,6
ΗΔΗ,ἤδη,ηδη,ἤδη,"already, by this time",,,,,Adverb,,129,278,1,1,3,,,1,1,27,,9.a,12,10
ΠΑΤΗΡ,πατήρ,πατηρ,πατήρ πατρός ὁ,father,3,,,,Noun,"Family, Friendship, and the Home",130,169,1,1,2,1,1,1,1,29,10,5.a,15,7
ΑΚΟΥΩ,ἀκούω,Ακουω,ἀκούω ἀκούσομαι ἤκουσα ἀκήκοα ––– ἠκούσθην,"hear, listen",,,,,Verb,Communication,131,129,1,1,3,1,1,1,1,5,11,3.a,9,5
ΓΕΝΟΣ,γένος,γενος,γένος –ους τό,"birth, offspring; race",3,,,,Noun,"Family, Friendship, and the Home",132,295,1,1,,1,1,1,1,48,10,5.a,15,7
ΤΟΠΟΣ,τόπος,τοπος,τόπος –ου ὁ,"place, region",2,,,,Noun,Government and Society,133,,1,,,1,1,1,1,11,13,,,
ΠΡΑΣΣΩ/ΠΡΑΤΤΩ,πράσσω/πράττω,πρασσω/πραττω,πράσσω πράξω ἔπραξα πέπραχα (or πέπραγα) πέπραγμαι ἐπράχθην,"do, make, achieve",,,,,Verb,,134,402,1,1,,1,1,1,1,"10,17",5,1.a,10,7
ΠΡΩΤΟΣ,πρῶτος,πρωτος,πρῶτος –η –ον,"first, foremost",1,,,,Adjective,,135,76,1,1,3,1,1,1,1,32,5,2.a,25,11
ΕΥΡΙΣΚΩ,εὑρίσκω,ευρισκω,εὑρίσκω εὑρήσω εὗρον εὕρηκα εὕρημαι εὑρέθην,"find, discover",,,,,Verb,,136,199,1,1,4,1,1,1,1,8,19,7.a,10,13
ΠΑΙΣ/ΠΑΙΔΙΟΝ,παῖς/παιδίον,παις/παιδιον,παῖς παιδός ὁ ἡ,"child, slave",3,,,,Noun,"Family, Friendship, and the Home",137,34,1,1,2,,1,1,1,25,13,"1.b,5.a","3,16",5
ΕΡΧΟΜΑΙ,ἔρχομαι,ερχομαι,ἔρχομαι εἶμι ἦλθον ἐλήλυθα ––– –––,"come, go",,,,,Verb,Locomotion,138,131,1,1,1,1,1,1,1,40,13,1.a,11,6
ΥΙΟΣ,υἱός,υιος,υἱός –οῦ ὁ,son,2,,,,Noun,"Family, Friendship, and the Home",139,,1,,1,1,1,1,1,27,,5.a,21,4
ΥΔΩΡ,ὕδωρ,υδωρ,ὕδωρ ὕδατος τό,water,3,,,,Noun,Natural World,140,408,1,1,3,1,1,1,1,50,9,5.a,14,
ΙΔΙΟΣ,ἴδιος,ιδιος,ἴδιος –α –ον,"peculiar, private citizen",1,,,,Adjective,Government and Society,141,,1,,,,,,1,,,,40,10
ΣΟΣ,σός,σος,σός –ή –όν,yours,1,,,,Adjective,,142,100,1,1,2,1,1,1,1,21,15,9.a,22,6
ΓΙΓΝΩΣΚΩ,γιγνώσκω,γιγνωσκω,γιγνώσκω γνώσομαι ἔγνων ἔγνωκα ἔγνωσμαι ἐγνώσθην,"know, perceive",,,,,Verb,Communication,143,,1,,3,1,1,1,1,49,16,"4.a,7.a",19,14
ΤΥΓΧΑΝΩ,τυγχάνω,τυγχανω,τυγχάνω τεύξομαι ἔτυχον τετύχηκα ––– –––,"happen, meet, obtain",,,,,Verb,Humanity and Being,144,193,1,1,,1,1,1,1,50,14,7.a,28,11
ΙΣΤΗΜΙ,ἵστημι,ιστημι,ἵστημι στήσω ἔστησα (or ἔστην) ἕστηκα ἕσταμαι ἐστάθην,"send, throw",,,,,Verb,,145,186,1,1,1,1,1,1,1,46,12,12.a,23,15
ΑΜΑ,ἅμα,Αμα,ἅμα,"at once, at the same time",,,,,"Adverb, Preposition",,146,180,1,1,2,,1,1,1,,8,7.a,33,
ΑΓΩ,ἄγω,αγω,ἄγω ἄξω ἤγαγον ἦχα ἦγμαι ἤχθην,"do, drive, go",,,,,Verb,Locomotion,147,106,1,1,1,1,1,1,1,22,8,1.a,"5,11",5
ΤΡΟΠΟΣ,τρόπος,τροπος,τρόπος –ου ὁ,"turn, direction, way, manner",2,,,,Noun,,148,142,1,1,,1,1,1,1,11,9,,8,9
ΜΗΤΕ,μήτε,μητε,μήτε...μήτε,and not,,,,,Conjunction,,149,284,1,1,,,,1,1,22,8,,18,6
ΜΕΣΟΣ,μέσος,μεσος,μέσος –η –ον,"middle, in the middle",1,,,,Adjective,,150,247,1,1,3,,,1,1,,14,,40,
ΑΛΛΗΛΩΝ,ἀλλήλων,Αλληλων,ἀλλήλων –οις,each other,,,,,Pronoun,,151,228,1,1,3,,1,1,1,49,12,8.a,25,8
ΑΕΙ,άεί,αει,αἰέν αἰεί αἰέν,"always, ever",,,,,Adverb,,152,275,1,1,"3,4",,1,1,1,25,11,3.a,12,5
ΦΙΛΙΟΣ,φίλιος,φιλιος,φίλιος –α –ον,friendly,1,,,,Adjective,,153,,1,,,,,1,1,,,3.b,7,
ΣΥΜΒΑΙΝΩ,συμβαίνω,συμβαινω,συμβαίνω συμβήσομαι συνέβην συμβέβηκα ,"meet, happen, result",,,,,Verb,"Family, Friendship, and the Home",154,,1,,,,,1,1,,,12.a,24,
ΕΡΓΟΝ,ἔργον,εργον,ἔργον –ου τό,"work, deed",2,,,,Noun,Government and Society,155,161,1,1,2,1,1,1,1,8,1,1.b,3,1
