TITLE,accented lemma,SEARCH LEMMA,DISPLAY LEMMA,English Definition,Decl,Idiom,Reg Adject/Adv/Form,Proper,Part Of Speech,DCC SEMANTIC GROUP,DCC Core Frequency,Herodotus 1 frequency rank,DCC Greek Core,Herodotus Book 1 Core (412 words > 10 times),Homer Core (Frequency Categories 1-4),National Collegiate Greek Exam Core,Fundamental 400 (BiCo Elementary Core),Fine 555 (BiCo Third Semester Core),Splendid 655 (BiCo Fourth Semester Core),Alpha to Omega (Groton),Greek: an Intensive Course (Hansen-Quinn),Introduction to Ancient Greek (Luschnig),Introduction to Attic Greek (Mastronarde 2013),Learn to Read Greek (Keller-Russell)
ΑΘΡΟΟΣ,ἀθρόος,Αθροος,ἀθρόος –α –ον,"crowded together, many",1,,,,Adjective,,,,,,,,,,,,,,,
ΑΘΥΜΙΑ ,ἀθυμία ,Αθυμια ,ἀθυμία –ας ἡ,lack of spirit; despair,1,,,,Noun,,,,,,,,,,,,,,,
ΑΘΥΜΟΣ,ἄθυμος,αθυμος,ἄθυμος –ον,"discouraged, spiritless",1,,,,Adjective,,,,,,,,,,,,,,38,
ΑΙ,αἴ,,αἴ,"if, if only, whether",,,,,"Conjunction, Particle",,,,,,3,,,,,,,,,
ΑΙΓΕΥΣ/N,Αἰγεύς/N,ΑΙγευς/N,Αἰγεύς –έως ὁ ,king of Athens,3,,,1,Noun,,,,,,,,,,,,,,,
ΑΙΓΟΧΟΣ,αἰγίοχος,,αἰγίοχος -ον,aegis-holding,"1, 2",,,,Adjective,,,,,,4,,,,,,,,,
ΑΙΓΥΠΤΟΣ/N,Αἴγυπτος/N,Αιγυπτος/N,Αἴγυπτος ὁ,Egypt,2,,,1,Noun,,,371,,1,,,,,,,,,,
ΑΙΔΩΣ,αἰδώς,αΙδως,αἰδώς αἰδοῦς ἡ,"shame, sense of honor",3,,,,Noun,War and Peace,,,,,,,,,,17,,,42,
ΑΙΝΕΩ,αἰνέω,αΙνεω,αἰνέω αἰνέσω ᾔνεσα ᾔνεκα ᾔνημαι ᾔνέθην,"tell, speak of, praise",,,,,Verb,Communication,,,,,,,,,,,,,,
ΑΙΝΟΣ,αἰνός,αΙνος,αἰνός –ή –όν,"dread, grim",1,,,,Adjective,,,,,,4,,,,,,,,,
ΑΙΞ,αἴξ,αιξ,αἰγός ὁ ἡ,goat,3,,,,Noun,,,,,,4,,,,,,6,,,
ΑΙΟΛΕΥΣ/N,Αἴολεύς/N,Αιολευς/N,Αἴολεύς –έος ὁ,Aeolian,3,,,1,Noun,,,254,,1,,,,,,,,,,
ΑΙΠΥΣ,αἰπύς,,αἰπύς -εῖα -ύ,"steep, towering",3,,,,Adjective,,,,,,4,,,,,,,,,
ΑΙΡΕΣΙΣ,αἵρεσις,αιρεσις,αἵρεσις –εως ἡ,"a taking, capture (of a town)",3,,,,Noun,War and Peace,,,,,,,,,,,,,,
