TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΕΜΒΑΔΟΠΟΙΟΣ,ἐμβαδοποιός,,ἐμβαδοποιός,shoemaker,shoemaker,shoemaker,,,,,,http://logeion.uchicago.edu/index.html#ἐμβαδοποιός
ΕΜΒΑΘΡΑ,ἔμβαθρα,,ἔμβαθρα,shoes,shoes,shoes,,,,,,http://logeion.uchicago.edu/index.html#ἔμβαθρα
ΕΜΒΑΘΥΝΩ,ἐμβαθύνω,,ἐμβαθύνω,"make deep, hollow out","make deep, hollow out","make deep, hollow out",,,,,,http://logeion.uchicago.edu/index.html#ἐμβαθύνω
ΕΜΒΑΙΝΩ,ἐμβαίνω,εμβαινω,ἐμβαίνω ἐμβήσομαι ἐνέβην ἐμβέβηκα ––– –––,"step upon, board",to step in,to step in,0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἐμβαίνω
ΕΜΒΑΚΧΕΥΩ,ἐμβακχεύω,,ἐμβακχεύω,revel in,revel in,revel in,,,,,,http://logeion.uchicago.edu/index.html#ἐμβακχεύω
ΕΜΒΑΛΛΩ,ἐμβάλλω,Εμβαλλω,ἐμβάλλω ἐμβαλῶ ἐνέβαλον ἐμβέβληκα ἐμβέβλημαι ἐνεβλήθην,"throw in, invade","to throw in, put in","to throw in, put in",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἐμβάλλω
ΕΜΒΑΜΜΑ,ἔμβαμμα,,ἔμβαμμα,"sauce, soup","sauce, soup","sauce, soup",,,,,,http://logeion.uchicago.edu/index.html#ἔμβαμμα
ΕΜΒΑΠΤΩ,ἐμβάπτω,,ἐμβάπτω,to dip in,to dip in,to dip in,,,,,,http://logeion.uchicago.edu/index.html#ἐμβάπτω
ΕΜΒΑΡΟΣ,ἔμβαρος,,ἔμβαρος,of weighty sense,of weighty sense,of weighty sense,,,,,,http://logeion.uchicago.edu/index.html#ἔμβαρος
ΕΜΒΑΡΥΘΩ,ἐμβαρύθω,,ἐμβαρύθω,to be heavy upon,to be heavy upon,to be heavy upon,,,,,,http://logeion.uchicago.edu/index.html#ἐμβαρύθω
ΕΜΒΑΣ,ἐμβάς,,ἐμβάς –άδος ἡ,a felt-shoe,a felt-shoe,a felt-shoe,,,,,,http://logeion.uchicago.edu/index.html#ἐμβάς –άδος
ΕΜΒΑΣΑΝΙΖΩ,ἐμβασανίζω,,ἐμβασανίζω,"test, examine","test, examine","test, examine",,,,,,http://logeion.uchicago.edu/index.html#ἐμβασανίζω
ΕΜΒΑΣΙΚΟΙΤΑΣ,ἐμβασικοίτας,,ἐμβασικοίτας,cup,cup,cup,,,,,,http://logeion.uchicago.edu/index.html#ἐμβασικοίτας
ΕΜΒΑΣΙΚΟΙΤΟΣ,ἐμβασίκοιτος,,ἐμβασίκοιτος,sleeping on the ground,sleeping on the ground,sleeping on the ground,,,,,,http://logeion.uchicago.edu/index.html#ἐμβασίκοιτος
ΕΜΒΑΣΙΛΕΥΩ,ἐμβασιλεύω,,ἐμβασιλεύω,to be king in,to be king in,to be king in,,,,,,http://logeion.uchicago.edu/index.html#ἐμβασιλεύω
ΕΜΒΑΣΙΟΣ,Ἐμβάσιος,,Ἐμβάσιος,favouring embarkation,favouring embarkation,favouring embarkation,,,,,,http://logeion.uchicago.edu/index.html#Ἐμβάσιος
ΕΜΒΑΣΙΣ,ἔμβασις,,ἔμβασις,that on which one goes,that on which one goes,that on which one goes,,,,,,http://logeion.uchicago.edu/index.html#ἔμβασις
ΕΜΒΑΣΙΧΥΤΡΟΣ,ἐμβασίχυτρος,,ἐμβασίχυτρος,pot-visiter,pot-visiter,pot-visiter,,,,,,http://logeion.uchicago.edu/index.html#ἐμβασίχυτρος
ΕΜΒΑΣΤΑΖΩ,ἐμβαστάζω,,ἐμβαστάζω,bear in,bear in,bear in,,,,,,http://logeion.uchicago.edu/index.html#ἐμβαστάζω
ΕΜΒΑΤΕΙΑ,ἐμβατεία,,ἐμβατεία,entering into possession,entering into possession,entering into possession,,,,,,http://logeion.uchicago.edu/index.html#ἐμβατεία
ΕΜΒΑΤΕΟΝ,ἐμβατέον,,ἐμβατέον,one must put into a bath,one must put into a bath,one must put into a bath,,,,,,http://logeion.uchicago.edu/index.html#ἐμβατέον
ΕΜΒΑΤΕΥΩ,ἐμβατεύω,,ἐμβατεύω ἐμβατεύσω ἐνεβάτευσα ἐμβεβάτευκα ––– –––,to step in,to step in,to step in,0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἐμβατεύω
ΕΜΒΑΤΕΩ,ἐμβατέω,,ἐμβατέω,lead to pasture,lead to pasture,lead to pasture,,,,,,http://logeion.uchicago.edu/index.html#ἐμβατέω
ΕΜΒΑΤΗΡΙΟΣ,ἐμβατήριος,,ἐμβατήριος,of or for marching,of or for marching,of or for marching,,,,,,http://logeion.uchicago.edu/index.html#ἐμβατήριος
ΕΜΒΑΤΗΣ,ἐμβάτης,,ἐμβάτης,a half-boot of felt,a half-boot of felt,a half-boot of felt,,,,,,http://logeion.uchicago.edu/index.html#ἐμβάτης
ΕΜΒΑΤΙΚΟΣ,ἐμβατικός,,ἐμβατικός,for a bath,for a bath,for a bath,,,,,,http://logeion.uchicago.edu/index.html#ἐμβατικός
ΕΜΒΑΤΟΣ,ἐμβατός,,ἐμβατός,"passable, accessible","passable, accessible","passable, accessible",,,,,,http://logeion.uchicago.edu/index.html#ἐμβατός
ΕΜΒΑΦΙΟΝ,ἐμβάφιον,,ἐμβάφιον,a flat vessel for sauces,a flat vessel for sauces,a flat vessel for sauces,,,,,,http://logeion.uchicago.edu/index.html#ἐμβάφιον
ΕΜΒΕΒΑΙΟΟΜΑΙ,ἐμβεβαιόομαι,,ἐμβεβαιόομαι,confirm,confirm,confirm,,,,,,http://logeion.uchicago.edu/index.html#ἐμβεβαιόομαι
ΕΜΒΕΛΗΣ,ἐμβελής,,ἐμβελής,within range of missiles,within range of missiles,within range of missiles,,,,,,http://logeion.uchicago.edu/index.html#ἐμβελής
ΕΜΒΙΒΑΖΩ,ἐμβιβάζω,,ἐμβιβάζω,to set in,to set in,to set in,,,,,,http://logeion.uchicago.edu/index.html#ἐμβιβάζω
ΕΜΒΙΒΑΣΜΟΣ,ἐμβιβασμός,,ἐμβιβασμός,introduction,introduction,introduction,,,,,,http://logeion.uchicago.edu/index.html#ἐμβιβασμός
ΕΜΒΙΒΑΣΤΕΟΝ,ἐμβιβαστέον,,ἐμβιβαστέον,one must cause to enter,one must cause to enter,one must cause to enter,,,,,,http://logeion.uchicago.edu/index.html#ἐμβιβαστέον
ΕΜΒΙΒΑΣΤΗΣ,ἐμβιβαστής,,ἐμβιβαστής,introducer,introducer,introducer,,,,,,http://logeion.uchicago.edu/index.html#ἐμβιβαστής
ΕΜΒΙΟΣ,ἔμβιος,,ἔμβιος,having life,having life,having life,,,,,,http://logeion.uchicago.edu/index.html#ἔμβιος
ΕΜΒΙΟΤΕΥΩ,ἐμβιοτεύω,,ἐμβιοτεύω,flourish in,flourish in,flourish in,,,,,,http://logeion.uchicago.edu/index.html#ἐμβιοτεύω
ΕΜΒΙΟΩ,ἐμβιόω,,ἐμβιόω,live in,live in,live in,,,,,,http://logeion.uchicago.edu/index.html#ἐμβιόω
ΕΜΒΙΩΣΙΣ,ἐμβίωσις,,ἐμβίωσις,maintenance of life,maintenance of life,maintenance of life,,,,,,http://logeion.uchicago.edu/index.html#ἐμβίωσις
ΕΜΒΙΩΤΗΡΙΟΝ,ἐμβιωτήριον,,ἐμβιωτήριον,"place to live in, dwelling","place to live in, dwelling","place to live in, dwelling",,,,,,http://logeion.uchicago.edu/index.html#ἐμβιωτήριον
ΕΜΒΛΑΣΤΑΝΩ,ἐμβλαστάνω,,ἐμβλαστάνω,grow on,grow on,grow on,,,,,,http://logeion.uchicago.edu/index.html#ἐμβλαστάνω
