TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΚΡΩΜΑΚΙΣΚΟΣ,κρωμακίσκος,,κρωμακίσκος,young pig,young pig,young pig,,,,,,http://logeion.uchicago.edu/index.html#κρωμακίσκος
ΚΡΩΜΑΞ,κρῶμαξ,,κρῶμαξ,heap of stones,heap of stones,heap of stones,,,,,,http://logeion.uchicago.edu/index.html#κρῶμαξ
ΚΡΩΜΝΑ,Κρῶμνα,,Κρῶμνα,Cromna,Cromna,Cromna,,,,,,http://logeion.uchicago.edu/index.html#Κρῶμνα
ΚΡΩΠΙΟΝ,κρώπιον,,κρώπιον,"scythe, bill-hook","scythe, bill-hook","scythe, bill-hook",,,,,,http://logeion.uchicago.edu/index.html#κρώπιον
ΚΡΩΣΣΟΣ,κρωσσός,,κρωσσός,"a water-pail, pitcher, jar","a water-pail, pitcher, jar","a water-pail, pitcher, jar",,,,,,http://logeion.uchicago.edu/index.html#κρωσσός
ΚΤΑΝΤΗΣ,κτάντης,,κτάντης,a murderer,a murderer,a murderer,,,,,,http://logeion.uchicago.edu/index.html#κτάντης
ΚΤΕΑΝΙΣΜΟΣ,κτεανισμός,,κτεανισμός,getting wealth,getting wealth,getting wealth,,,,,,http://logeion.uchicago.edu/index.html#κτεανισμός
ΚΤΕΑΝΟΝ,κτέανον,,κτέανον or κτέαρ τό,"possessions, property","possessions, property","possessions, property",,,,,,http://logeion.uchicago.edu/index.html#κτέανον
ΚΤΕΑΤΕΙΡΑ,κτεάτειρα,,κτεάτειρα,thou that hast put us in possession of,thou that hast put us in possession of,thou that hast put us in possession of,,,,,,http://logeion.uchicago.edu/index.html#κτεάτειρα
ΚΤΕΑΤΙΖΩ,κτεατίζω,,κτεατίζω,"to get, gain, win","to get, gain, win","to get, gain, win",,,,,,http://logeion.uchicago.edu/index.html#κτεατίζω
ΚΤΕΑΤΙΣΤΟΣ,κτεατιστός,,κτεατιστός,"gotten, acquired","gotten, acquired","gotten, acquired",,,,,,http://logeion.uchicago.edu/index.html#κτεατιστός
ΚΤΕΑΤΟΣ,Κτέατος,,Κτέατος,Cteatus,Cteatus,Cteatus,,,,,,http://logeion.uchicago.edu/index.html#Κτέατος
ΚΤΕΙΣ,κτείς,,κτείς,a comb,a comb,a comb,,,,,,http://logeion.uchicago.edu/index.html#κτείς
ΚΤΕΝΙΖΩ,κτενίζω,,κτενίζω,"to comb, curry","to comb, curry","to comb, curry",,,,,,http://logeion.uchicago.edu/index.html#κτενίζω
ΚΤΕΝΙΟΝ,κτενίον,,κτενίον,a small comb,a small comb,a small comb,,,,,,http://logeion.uchicago.edu/index.html#κτενίον
ΚΤΕΝΙΟΠΟΙΟΣ,κτενιοποιός,,κτενιοποιός,combmaker,combmaker,combmaker,,,,,,http://logeion.uchicago.edu/index.html#κτενιοποιός
ΚΤΕΝΙΣΜΟΣ,κτενισμός,,κτενισμός,a combing,a combing,a combing,,,,,,http://logeion.uchicago.edu/index.html#κτενισμός
ΚΤΕΝΙΣΤΗΣ,κτενιστής,,κτενιστής,hairdresser,hairdresser,hairdresser,,,,,,http://logeion.uchicago.edu/index.html#κτενιστής
ΚΤΕΝΙΣΤΙΚΟΣ,κτενιστικός,,κτενιστικός,for hairdressing,for hairdressing,for hairdressing,,,,,,http://logeion.uchicago.edu/index.html#κτενιστικός
ΚΤΕΝΙΣΤΟΣ,κτενιστός,,κτενιστός,"combed, carded","combed, carded","combed, carded",,,,,,http://logeion.uchicago.edu/index.html#κτενιστός
ΚΤΕΝΟΕΙΔΗΣ,κτενοειδής,,κτενοειδής,like a comb.,like a comb.,like a comb.,,,,,,http://logeion.uchicago.edu/index.html#κτενοειδής
ΚΤΕΝΟΠΩΛΗΣ,κτενοπώλης,,κτενοπώλης,dealer in combs,dealer in combs,dealer in combs,,,,,,http://logeion.uchicago.edu/index.html#κτενοπώλης
ΚΤΕΝΩΤΟΣ,κτενωτός,,κτενωτός,scalloped,scalloped,scalloped,,,,,,http://logeion.uchicago.edu/index.html#κτενωτός
ΚΤΕΟΜΑΙ,,κτεομαι,κτέομαι (or κτῶμαι) ἐκτησάμην κέκτημαι,"procure, possess",0,0,0,,,0,Verb,http://logeion.uchicago.edu/index.html#κτέομαι
ΚΤΕΡΑΣ,κτέρας,,κτέρας,a possession,a possession,a possession,,,,,,http://logeion.uchicago.edu/index.html#κτέρας
ΚΤΕΡΕΑ,κτέρεα,,κτέρεα,funeral gifts,funeral gifts,funeral gifts,,,,,,http://logeion.uchicago.edu/index.html#κτέρεα
ΚΤΕΡΕΙΖΩ,κτερεΐζω,,κτερεΐζω,bury with due honours,bury with due honours,bury with due honours,,,,,,http://logeion.uchicago.edu/index.html#κτερεΐζω
ΚΤΕΡΙΖΩ,κτερίζω,,κτερίζω κτεριῶ ἐκτέρισα ––– ––– –––,bury with solemn honors,bury with solemn honors,bury with solemn honors,,,,,Verb,http://logeion.uchicago.edu/index.html#κτερίζω
ΚΤΕΡΙΣΜΑΤΑ,κτερίσματα,,κτερίσματα,funeral gifts,funeral gifts,funeral gifts,,,,,,http://logeion.uchicago.edu/index.html#κτερίσματα
ΚΤΕΡΙΣΤΗΣ,κτεριστής,,κτεριστής,undertaker,undertaker,undertaker,,,,,,http://logeion.uchicago.edu/index.html#κτεριστής
ΚΤΗΔΩΝ,κτηδών,,κτηδών,line of fissure,line of fissure,line of fissure,,,,,,http://logeion.uchicago.edu/index.html#κτηδών
ΚΤΗΜΑ,κτῆμα,κτημα,κτῆμα –ατος τό,possession,"anything gotten, a piece of property, a possession","anything gotten, a piece of property, a possession",3,,,0,Noun,http://logeion.uchicago.edu/index.html#κτῆμα
ΚΤΗΜΑΤΙΔΙΟΝ,κτηματίδιον,,κτηματίδιον,small estate,small estate,small estate,,,,,,http://logeion.uchicago.edu/index.html#κτηματίδιον
ΚΤΗΜΑΤΙΚΟΣ,κτηματικός,,κτηματικός,"possessed of wealth, opulent","possessed of wealth, opulent","possessed of wealth, opulent",,,,,,http://logeion.uchicago.edu/index.html#κτηματικός
ΚΤΗΜΑΤΟΦΥΛΑΞ,κτηματοφύλαξ,,κτηματοφύλαξ,"estate bailiff, steward","estate bailiff, steward","estate bailiff, steward",,,,,,http://logeion.uchicago.edu/index.html#κτηματοφύλαξ
ΚΤΗΜΑΤΩΝΕΩ,κτηματωνέω,,κτηματωνέω,purchase properties,purchase properties,purchase properties,,,,,,http://logeion.uchicago.edu/index.html#κτηματωνέω
ΚΤΗΜΑΤΩΝΗΣ,κτηματώνης,,κτηματώνης,commissioner who purchases,commissioner who purchases,commissioner who purchases,,,,,,http://logeion.uchicago.edu/index.html#κτηματώνης
ΚΤΗΜΑΤΩΝΙΑ,κτηματωνία,,κτηματωνία,purchase of properties,purchase of properties,purchase of properties,,,,,,http://logeion.uchicago.edu/index.html#κτηματωνία
ΚΤΗΝΑΓΩΓΙΑ,κτηναγωγία,,κτηναγωγία,evectio,evectio,evectio,,,,,,http://logeion.uchicago.edu/index.html#κτηναγωγία
ΚΤΗΝΑΦΑΙΡΕΣΙΣ,κτηναφαίρεσις,,κτηναφαίρεσις,cattle-lifting,cattle-lifting,cattle-lifting,,,,,,http://logeion.uchicago.edu/index.html#κτηναφαίρεσις
ΚΤΗΝΗΔΟΝ,κτηνηδόν,,κτηνηδόν,like beasts,like beasts,like beasts,,,,,,http://logeion.uchicago.edu/index.html#κτηνηδόν
ΚΤΗΝΙΑΤΡΟΣ,κτηνίατρος,,κτηνίατρος,cattle-doctor,cattle-doctor,cattle-doctor,,,,,,http://logeion.uchicago.edu/index.html#κτηνίατρος
ΚΤΗΝΙΤΗΣ,κτηνίτης,,κτηνίτης,belonging to beasts,belonging to beasts,belonging to beasts,,,,,,http://logeion.uchicago.edu/index.html#κτηνίτης
ΚΤΗΝΟΒΑΤΗΣ,κτηνοβάτης,,κτηνοβάτης,one guilty of bestiality,one guilty of bestiality,one guilty of bestiality,,,,,,http://logeion.uchicago.edu/index.html#κτηνοβάτης
ΚΤΗΝΟΣ,κτῆνος,,κτῆνος –εος τό,flocks and herds,flocks and herds,flocks and herds,,,,,,http://logeion.uchicago.edu/index.html#κτῆνος
ΚΤΗΝΟΣΤΑΣΙΟΝ,κτηνοστάσιον,,κτηνοστάσιον,jumentarium,jumentarium,jumentarium,,,,,,http://logeion.uchicago.edu/index.html#κτηνοστάσιον
ΚΤΗΝΟΤΡΟΦΕΙΟΝ,κτηνοτροφεῖον,,κτηνοτροφεῖον,cattle-stall,cattle-stall,cattle-stall,,,,,,http://logeion.uchicago.edu/index.html#κτηνοτροφεῖον
ΚΤΗΝΟΤΡΟΦΕΩ,κτηνοτροφέω,,κτηνοτροφέω,keep cattle,keep cattle,keep cattle,,,,,,http://logeion.uchicago.edu/index.html#κτηνοτροφέω
ΚΤΗΝΟΤΡΟΦΙΑ,κτηνοτροφία,,κτηνοτροφία,cattle-keeping,cattle-keeping,cattle-keeping,,,,,,http://logeion.uchicago.edu/index.html#κτηνοτροφία
ΚΤΗΝΟΤΡΟΦΟΣ,κτηνότροφος,,κτηνότροφος,"keeping cattle, pastoral","keeping cattle, pastoral","keeping cattle, pastoral",,,,,,http://logeion.uchicago.edu/index.html#κτηνότροφος
ΚΤΗΝΟΤΡΟΦΟΣ/2,κτηνοτρόφος,,κτηνοτρόφος,"keeping cattle, pastoral.","keeping cattle, pastoral.","keeping cattle, pastoral.",,,,,,http://logeion.uchicago.edu/index.html#κτηνοτρόφος
ΚΤΗΝΩΔΗΣ,κτηνώδης,,κτηνώδης,like a beast,like a beast,like a beast,,,,,,http://logeion.uchicago.edu/index.html#κτηνώδης
ΚΤΗΣΙΑΣ,Κτησίας,,Κτησίας,Ctesias,Ctesias,Ctesias,,,,,,http://logeion.uchicago.edu/index.html#Κτησίας
ΚΤΗΣΙΒΙΟΣ,κτησίβιος,,κτησίβιος,possessing property,possessing property,possessing property,,,,,,http://logeion.uchicago.edu/index.html#κτησίβιος
ΚΤΗΣΙΟΣ,κτήσιος,,κτήσιος,belonging to property,belonging to property,belonging to property,,,,,,http://logeion.uchicago.edu/index.html#κτήσιος
ΚΤΗΣΙΠΠΟΣ,κτήσιππος,,κτήσιππος,possessing horses,possessing horses,possessing horses,,,,,,http://logeion.uchicago.edu/index.html#κτήσιππος
ΚΤΗΣΙΠΠΟΣ/2,Κτήσιππος,,Κτήσιππος,Ctesippus,Ctesippus,Ctesippus,,,,,,http://logeion.uchicago.edu/index.html#Κτήσιππος
ΚΤΗΣΙΣ,κτῆσις,,κτῆσις –εως ἡ,acquisition,acquisition,acquisition,,,,,,http://logeion.uchicago.edu/index.html#κτῆσις
ΚΤΗΣΙΦΩΝ,Κτησιφῶν,,Κτησιφῶν,Ctesiphon,Ctesiphon,Ctesiphon,,,,,,http://logeion.uchicago.edu/index.html#Κτησιφῶν
ΚΤΗΤΕΟΣ,κτητέος,,κτητέος,to be gotten,to be gotten,to be gotten,,,,,,http://logeion.uchicago.edu/index.html#κτητέος
ΚΤΗΤΙΚΟΣ,κτητικός,,κτητικός,acquisitive,acquisitive,acquisitive,,,,,,http://logeion.uchicago.edu/index.html#κτητικός
ΚΤΗΤΟΡΙΚΟΣ,κτητορικός,,κτητορικός,of an owner,of an owner,of an owner,,,,,,http://logeion.uchicago.edu/index.html#κτητορικός
ΚΤΗΤΟΣ,κτητός,,κτητός,that may be gotten,that may be gotten,that may be gotten,,,,,,http://logeion.uchicago.edu/index.html#κτητός
