TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΚΟΙΛΟΦΩΝΟΣ,κοιλόφωνος,,κοιλόφωνος,hollowvoiced,hollowvoiced,hollowvoiced,,,,,,http://logeion.uchicago.edu/index.html#κοιλόφωνος
ΚΟΙΛΟΧΕΙΛΗΣ,κοιλοχείλης,,κοιλοχείλης,hollow-rimmed,hollow-rimmed,hollow-rimmed,,,,,,http://logeion.uchicago.edu/index.html#κοιλοχείλης
ΚΟΙΛΟΩ,κοιλόω,,κοιλόω,hollow out,hollow out,hollow out,,,,,,http://logeion.uchicago.edu/index.html#κοιλόω
ΚΟΙΛΩΔΗΣ,κοιλώδης,,κοιλώδης,"hollow-like, cavernous","hollow-like, cavernous","hollow-like, cavernous",,,,,,http://logeion.uchicago.edu/index.html#κοιλώδης
ΚΟΙΛΩΜΑ,κοίλωμα,,κοίλωμα,"a hollow, cavity","a hollow, cavity","a hollow, cavity",,,,,,http://logeion.uchicago.edu/index.html#κοίλωμα
ΚΟΙΛΩΝΥΞ,κοιλῶνυξ,,κοιλῶνυξ,hollow-hoofed,hollow-hoofed,hollow-hoofed,,,,,,http://logeion.uchicago.edu/index.html#κοιλῶνυξ
ΚΟΙΛΩΠΗΣ,κοιλωπής,,κοιλωπής,hollow-eyed,hollow-eyed,hollow-eyed,,,,,,http://logeion.uchicago.edu/index.html#κοιλωπής
ΚΟΙΛΩΠΗΣ/2,κοιλώπης,,κοιλώπης,holloweyed,holloweyed,holloweyed,,,,,,http://logeion.uchicago.edu/index.html#κοιλώπης
ΚΟΙΛΩΠΟΣ,κοιλωπός,,κοιλωπός,hollow to look at: hollow,hollow to look at: hollow,hollow to look at: hollow,,,,,,http://logeion.uchicago.edu/index.html#κοιλωπός
ΚΟΙΛΩΣΙΣ,κοίλωσις,,κοίλωσις,cavity,cavity,cavity,,,,,,http://logeion.uchicago.edu/index.html#κοίλωσις
ΚΟΙΜΑΟΜΑΙ,κοιμάομαι,,κοιμάομαι,sleep,sleep,sleep,,,,,,http://logeion.uchicago.edu/index.html#κοιμάομαι
ΚΟΙΜΑΩ,κοιμάω,,κοιμάω κοιμήσω ἐκοίμησα κεκοίμημαι ἐκοιμήθην,to lull,to lull,to lull,,,,,,http://logeion.uchicago.edu/index.html#κοιμάω
ΚΟΙΜΗΘΡΑ,κοιμήθρα,,κοιμήθρα,sleeping-place,sleeping-place,sleeping-place,,,,,,http://logeion.uchicago.edu/index.html#κοιμήθρα
ΚΟΙΜΗΜΑ,κοίμημα,,κοίμημα –ατος τό,sleep,sleep,sleep,,,,,Noun,http://logeion.uchicago.edu/index.html#κοίμημα
ΚΟΙΜΗΣΙΣ,κοίμησις,,κοίμησις,a lying down to sleep,a lying down to sleep,a lying down to sleep,,,,,,http://logeion.uchicago.edu/index.html#κοίμησις
ΚΟΙΜΗΤΗΡΙΟΝ,κοιμητήριον,,κοιμητήριον,sleeping-room,sleeping-room,sleeping-room,,,,,,http://logeion.uchicago.edu/index.html#κοιμητήριον
ΚΟΙΜΗΤΙΚΩΣ,κοιμητικῶς,,κοιμητικῶς,sleepily,sleepily,sleepily,,,,,,http://logeion.uchicago.edu/index.html#κοιμητικῶς
ΚΟΙΜΙΖΩ,κοιμίζω,,κοιμίζω κοιμιῶ ἐκοίμισα ––– ––– –––,to put to sleep,to put to sleep,to put to sleep,0,,,0,Verb,http://logeion.uchicago.edu/index.html#κοιμίζω
ΚΟΙΜΙΣΙΣ,κοίμισις,,κοίμισις,putting to sleep,putting to sleep,putting to sleep,,,,,,http://logeion.uchicago.edu/index.html#κοίμισις
ΚΟΙΜΙΣΤΗΣ,κοιμιστής,,κοιμιστής,one who puts to bed,one who puts to bed,one who puts to bed,,,,,,http://logeion.uchicago.edu/index.html#κοιμιστής
ΚΟΙΜΙΣΤΙΚΟΣ,κοιμιστικός,,κοιμιστικός,of or for putting to sleep,of or for putting to sleep,of or for putting to sleep,,,,,,http://logeion.uchicago.edu/index.html#κοιμιστικός
ΚΟΙΝΑΡΙΟΝ,κοινάριον,,κοινάριον,cynarium,cynarium,cynarium,,,,,,http://logeion.uchicago.edu/index.html#κοινάριον
ΚΟΙΝΑΩ,κοινάω,,κοινάω,"confide, entrust","confide, entrust","confide, entrust",,,,,,http://logeion.uchicago.edu/index.html#κοινάω
ΚΟΙΝΕΙΟΝ,κοινεῖον,,κοινεῖον,common hall,common hall,common hall,,,,,,http://logeion.uchicago.edu/index.html#κοινεῖον
ΚΟΙΝΗΙ,,,κοινός –ή –όν,common; adv. jointly,common; adv. jointly,common; adv. jointly,,,,,,http://logeion.uchicago.edu/index.html#κοινός
ΚΟΙΝΙΣΜΟΣ,κοινισμός,,κοινισμός,mixture of dialects,mixture of dialects,mixture of dialects,,,,,,http://logeion.uchicago.edu/index.html#κοινισμός
ΚΟΙΝΟΒΙΑΡΧΗΣ,κοινοβιάρχης,,κοινοβιάρχης,head of a κοινόβιον,head of a κοινόβιον,head of a κοινόβιον,,,,,,http://logeion.uchicago.edu/index.html#κοινοβιάρχης
ΚΟΙΝΟΒΙΟΣ,κοινόβιος,,κοινόβιος,living in community with others,living in community with others,living in community with others,,,,,,http://logeion.uchicago.edu/index.html#κοινόβιος
ΚΟΙΝΟΒΙΟΤΗΣ,κοινοβιότης,,κοινοβιότης,consortium,consortium,consortium,,,,,,http://logeion.uchicago.edu/index.html#κοινοβιότης
ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΟΣ,κοινοβουλευτικός,,κοινοβουλευτικός,deliberative,deliberative,deliberative,,,,,,http://logeion.uchicago.edu/index.html#κοινοβουλευτικός
ΚΟΙΝΟΒΟΥΛΕΩ,κοινοβουλέω,,κοινοβουλέω,to deliberate in common,to deliberate in common,to deliberate in common,,,,,,http://logeion.uchicago.edu/index.html#κοινοβουλέω
ΚΟΙΝΟΒΟΥΛΙΑ,κοινοβουλία,,κοινοβουλία,common counsel,common counsel,common counsel,,,,,,http://logeion.uchicago.edu/index.html#κοινοβουλία
ΚΟΙΝΟΒΟΥΛΙΟΝ,κοινοβούλιον,,κοινοβούλιον,common council,common council,common council,,,,,,http://logeion.uchicago.edu/index.html#κοινοβούλιον
ΚΟΙΝΟΒΟΥΛΟΣ,κοινόβουλος,,κοινόβουλος,member of local senate,member of local senate,member of local senate,,,,,,http://logeion.uchicago.edu/index.html#κοινόβουλος
ΚΟΙΝΟΒΩΜΙΑ,κοινοβωμία,,κοινοβωμία,community of altar,community of altar,community of altar,,,,,,http://logeion.uchicago.edu/index.html#κοινοβωμία
ΚΟΙΝΟΓΑΜΙΑ,κοινογάμια,,κοινογάμια,promiscuous concubinage,promiscuous concubinage,promiscuous concubinage,,,,,,http://logeion.uchicago.edu/index.html#κοινογάμια
ΚΟΙΝΟΓΕΝΗΣ,κοινογενής,,κοινογενής,hybridizing,hybridizing,hybridizing,,,,,,http://logeion.uchicago.edu/index.html#κοινογενής
ΚΟΙΝΟΓΟΝΙΑ,κοινογονία,,κοινογονία,mixing of breeds,mixing of breeds,mixing of breeds,,,,,,http://logeion.uchicago.edu/index.html#κοινογονία
ΚΟΙΝΟΔΗΜΙΟΝ,κοινοδήμιον,,κοινοδήμιον,common assembly of the people,common assembly of the people,common assembly of the people,,,,,,http://logeion.uchicago.edu/index.html#κοινοδήμιον
ΚΟΙΝΟΔΗΜΟΣ,κοινόδημος,,κοινόδημος,"common to the people, public","common to the people, public","common to the people, public",,,,,,http://logeion.uchicago.edu/index.html#κοινόδημος
ΚΟΙΝΟΔΙΚΙΟΝ,κοινοδίκιον,,κοινοδίκιον,common court in which matters in dispute between different cities were settled,common court in which matters in dispute between different cities were settled,common court in which matters in dispute between different cities were settled,,,,,,http://logeion.uchicago.edu/index.html#κοινοδίκιον
ΚΟΙΝΟΔΙΚΟΣ,κοινόδικος,,κοινόδικος,enjoying a common right,enjoying a common right,enjoying a common right,,,,,,http://logeion.uchicago.edu/index.html#κοινόδικος
ΚΟΙΝΟΕΡΓΗΣ,κοινοεργής,,κοινοεργής,working in common,working in common,working in common,,,,,,http://logeion.uchicago.edu/index.html#κοινοεργής
ΚΟΙΝΟΘΑΝΗΣ,κοινοθανής,,κοινοθανής,of common death,of common death,of common death,,,,,,http://logeion.uchicago.edu/index.html#κοινοθανής
ΚΟΙΝΟΘΥΛΑΚΕΩ,κοινοθυλακέω,,κοινοθυλακέω,have a common purse,have a common purse,have a common purse,,,,,,http://logeion.uchicago.edu/index.html#κοινοθυλακέω
ΚΟΙΝΟΚΡΑΤΗΡΟΣΚΥΦΟΣ,κοινοκρατηρόσκυφος,,κοινοκρατηρόσκυφος,filling his cup from the common bowl,filling his cup from the common bowl,filling his cup from the common bowl,,,,,,http://logeion.uchicago.edu/index.html#κοινοκρατηρόσκυφος
ΚΟΙΝΟΛΕΚΤΕΩ,κοινολεκτέω,,κοινολεκτέω,use the language of common life,use the language of common life,use the language of common life,,,,,,http://logeion.uchicago.edu/index.html#κοινολεκτέω
ΚΟΙΝΟΛΕΚΤΟΣ,κοινόλεκτος,,κοινόλεκτος,in the language of common life,in the language of common life,in the language of common life,,,,,,http://logeion.uchicago.edu/index.html#κοινόλεκτος
ΚΟΙΝΟΛΕΞΙΑ,κοινολεξία,,κοινολεξία,ordinary language,ordinary language,ordinary language,,,,,,http://logeion.uchicago.edu/index.html#κοινολεξία
ΚΟΙΝΟΛΕΧΗΣ,κοινολεχής,,κοινολεχής,a paramour,a paramour,a paramour,,,,,,http://logeion.uchicago.edu/index.html#κοινολεχής
ΚΟΙΝΟΛΟΓΕΟΜΑΙ,κοινολογέομαι,,κοινολογέομαι,to commune,to commune,to commune,,,,,,http://logeion.uchicago.edu/index.html#κοινολογέομαι
ΚΟΙΝΟΛΟΓΙΑ,κοινολογία,,κοινολογία,consultation,consultation,consultation,,,,,,http://logeion.uchicago.edu/index.html#κοινολογία
ΚΟΙΝΟΜΕΤΡΕΩ,κοινομετρέω,,κοινομετρέω,measure corn-rent by agreement,measure corn-rent by agreement,measure corn-rent by agreement,,,,,,http://logeion.uchicago.edu/index.html#κοινομετρέω
ΚΟΙΝΟΜΗΤΩΡ,κοινομήτωρ,,κοινομήτωρ,having a common mother,having a common mother,having a common mother,,,,,,http://logeion.uchicago.edu/index.html#κοινομήτωρ
ΚΟΙΝΟΝΟΗΜΟΣΥΝΗ,κοινονοημοσύνη,,κοινονοημοσύνη,regard for the feelings of others,regard for the feelings of others,regard for the feelings of others,,,,,,http://logeion.uchicago.edu/index.html#κοινονοημοσύνη
ΚΟΙΝΟΠΑΘΗΣ,κοινοπαθής,,κοινοπαθής,"sympathetic, sociable","sympathetic, sociable","sympathetic, sociable",,,,,,http://logeion.uchicago.edu/index.html#κοινοπαθής
ΚΟΙΝΟΠΛΟΟΣ,κοινόπλοος,,κοινόπλοος,sailing in common,sailing in common,sailing in common,,,,,,http://logeion.uchicago.edu/index.html#κοινόπλοος
ΚΟΙΝΟΠΛΟΥΣ,κοινόπλους,,κοινόπλους –ουν,sailing in common,sailing in common,sailing in common,1,,,0,Adjective,http://logeion.uchicago.edu/index.html#κοινόπλους
ΚΟΙΝΟΠΟΙΕΩ,κοινοποιέω,,κοινοποιέω,make common property,make common property,make common property,,,,,,http://logeion.uchicago.edu/index.html#κοινοποιέω
ΚΟΙΝΟΠΟΙΟΣ,κοινοποιός,,κοινοποιός,creating community,creating community,creating community,,,,,,http://logeion.uchicago.edu/index.html#κοινοποιός
ΚΟΙΝΟΠΟΛΙΤΕΙΑ,κοινοπολιτεία,,κοινοπολιτεία,citizenship of a κοινόν or league,citizenship of a κοινόν or league,citizenship of a κοινόν or league,,,,,,http://logeion.uchicago.edu/index.html#κοινοπολιτεία
ΚΟΙΝΟΠΟΡΦΥΡΟΥΣ,κοινοπορφυροῦς,,κοινοπορφυροῦς,dyed with purple of inferior quality,dyed with purple of inferior quality,dyed with purple of inferior quality,,,,,,http://logeion.uchicago.edu/index.html#κοινοπορφυροῦς
ΚΟΙΝΟΠΟΥΣ,κοινόπους,,κοινόπους,of common foot,of common foot,of common foot,,,,,,http://logeion.uchicago.edu/index.html#κοινόπους
ΚΟΙΝΟΠΡΑΓΕΩ,κοινοπραγέω,,κοινοπραγέω,"act in common with, have dealings with","act in common with, have dealings with","act in common with, have dealings with",,,,,,http://logeion.uchicago.edu/index.html#κοινοπραγέω
ΚΟΙΝΟΠΡΑΓΙΑ,κοινοπραγία,,κοινοπραγία,"common enterprise, joint","common enterprise, joint","common enterprise, joint",,,,,,http://logeion.uchicago.edu/index.html#κοινοπραγία
ΚΟΙΝΟΤΑΦΗΣ,κοινοταφής,,κοινοταφής,in which all must be buried,in which all must be buried,in which all must be buried,,,,,,http://logeion.uchicago.edu/index.html#κοινοταφής
ΚΟΙΝΟΤΑΦΙΟΝ,κοινοτάφιον,,κοινοτάφιον,public grave,public grave,public grave,,,,,,http://logeion.uchicago.edu/index.html#κοινοτάφιον
ΚΟΙΝΟΤΕΛΗΣ,κοινοτελής,,κοινοτελής,with the authority of the state,with the authority of the state,with the authority of the state,,,,,,http://logeion.uchicago.edu/index.html#κοινοτελής
ΚΟΙΝΟΤΗΣ,κοινότης,,κοινότης,"a sharing in common, community, partnership","a sharing in common, community, partnership","a sharing in common, community, partnership",,,,,,http://logeion.uchicago.edu/index.html#κοινότης
ΚΟΙΝΟΤΟΚΟΣ,κοινότοκος,,κοινότοκος,of or from common parents,of or from common parents,of or from common parents,,,,,,http://logeion.uchicago.edu/index.html#κοινότοκος
ΚΟΙΝΟΤΡΟΦΙΚΟΣ,κοινοτροφικός,,κοινοτροφικός,of or for group rearing,of or for group rearing,of or for group rearing,,,,,,http://logeion.uchicago.edu/index.html#κοινοτροφικός
ΚΟΙΝΟΦΑΓΙΑ,κοινοφαγία,,κοινοφαγία,eating of what is common,eating of what is common,eating of what is common,,,,,,http://logeion.uchicago.edu/index.html#κοινοφαγία
ΚΟΙΝΟΦΙΛΗΣ,κοινοφιλής,,κοινοφιλής,loving in common,loving in common,loving in common,,,,,,http://logeion.uchicago.edu/index.html#κοινοφιλής
ΚΟΙΝΟΦΡΩΝ,κοινόφρων,,κοινόφρων,like-minded with,like-minded with,like-minded with,,,,,,http://logeion.uchicago.edu/index.html#κοινόφρων
ΚΟΙΝΟΦΥΗΣ,κοινοφυής,,κοινοφυής,of common origin,of common origin,of common origin,,,,,,http://logeion.uchicago.edu/index.html#κοινοφυής
ΚΟΙΝΟΩ,κοινόω,κοινοω,κοινόω κοινώσω ἐκοίνωσα κεκοίνωκα κεκοίνωμαι ἐκοινώθην,"make common, defile, share in","to make common, communicate, impart","to make common, communicate, impart",,,,,Verb,http://logeion.uchicago.edu/index.html#κοινόω
ΚΟΙΝΤΟΣ,Κοίντος,,Κοίντος,Quintus,Quintus,Quintus,,,,,,http://logeion.uchicago.edu/index.html#Κοίντος
ΚΟΙΝΤΟΣ/2,Κόϊντος,,Κόϊντος,Quintus,Quintus,Quintus,,,,,,http://logeion.uchicago.edu/index.html#Κόϊντος
ΚΟΙΝΩΜΑ,κοίνωμα,,κοίνωμα,intercourse,intercourse,intercourse,,,,,,http://logeion.uchicago.edu/index.html#κοίνωμα
ΚΟΙΝΩΜΑΤΙΟΝ,κοινωμάτιον,,κοινωμάτιον,"band, tie","band, tie","band, tie",,,,,,http://logeion.uchicago.edu/index.html#κοινωμάτιον
ΚΟΙΝΩΝΑΤΙΚΟΣ,κοινωνατικός,,κοινωνατικός,"generous, liberal","generous, liberal","generous, liberal",,,,,,http://logeion.uchicago.edu/index.html#κοινωνατικός
ΚΟΙΝΩΝΕΩ,κοινωνέω,κοινωνεω,κοινωνέω,"have a share, take part in",to have or do in common with,to have or do in common with,,,,,Verb,http://logeion.uchicago.edu/index.html#κοινωνέω
ΚΟΙΝΩΝΗΜΑ,κοινώνημα,,κοινώνημα,"acts of communion, communications, dealings between man and man","acts of communion, communications, dealings between man and man","acts of communion, communications, dealings between man and man",,,,,,http://logeion.uchicago.edu/index.html#κοινώνημα
ΚΟΙΝΩΝΗΣΙΣ,κοινώνησις,,κοινώνησις,reciprocal recognition,reciprocal recognition,reciprocal recognition,,,,,,http://logeion.uchicago.edu/index.html#κοινώνησις
ΚΟΙΝΩΝΗΤΕΟΝ,κοινωνητέον,,κοινωνητέον,one must share in,one must share in,one must share in,,,,,,http://logeion.uchicago.edu/index.html#κοινωνητέον
ΚΟΙΝΩΝΗΤΕΟΣ,κοινωνητέος,,κοινωνητέος,one must give a share,one must give a share,one must give a share,,,,,,http://logeion.uchicago.edu/index.html#κοινωνητέος
ΚΟΙΝΩΝΗΤΙΚΟΣ,κοινωνητικός,,κοινωνητικός,social science,social science,social science,,,,,,http://logeion.uchicago.edu/index.html#κοινωνητικός
ΚΟΙΝΩΝΙΑ,κοινωνία,κοινωνια,κοινωνία –άς ἡ,"communion, partnership","communion, association, partnership, fellowship","communion, association, partnership, fellowship",1,,,,Noun,http://logeion.uchicago.edu/index.html#κοινωνία
ΚΟΙΝΩΝΙΚΟΣ,κοινωνικός,,κοινωνικός,"held in common, social","held in common, social","held in common, social",,,,,,http://logeion.uchicago.edu/index.html#κοινωνικός
ΚΟΙΝΩΝΟΣ,κοινωνός,,κοινωνός –οῦ ὁ/ἡ,"a companion, partner","a companion, partner","a companion, partner",2,,,0,Noun,http://logeion.uchicago.edu/index.html#κοινωνός
ΚΟΙΝΩΣ,,κοινως,κοινῶς,"commonly, in common",,,,,,,Adverb,http://logeion.uchicago.edu/index.html#κοινῶς
ΚΟΙΝΩΣΙΣ,κοίνωσις,,κοίνωσις,mingling,mingling,mingling,,,,,,http://logeion.uchicago.edu/index.html#κοίνωσις
ΚΟΙΝΩΦΕΛΗΣ,κοινωφελής,,κοινωφελής,of common utility,of common utility,of common utility,,,,,,http://logeion.uchicago.edu/index.html#κοινωφελής
ΚΟΙΝΩΦΕΛΙΑ,κοινωφελία,,κοινωφελία,common utility,common utility,common utility,,,,,,http://logeion.uchicago.edu/index.html#κοινωφελία
ΚΟΙΞ,κόϊξ,,κόϊξ,"doum-palm, Hyphaene thebaica","doum-palm, Hyphaene thebaica","doum-palm, Hyphaene thebaica",,,,,,http://logeion.uchicago.edu/index.html#κόϊξ
ΚΟΙΟΓΕΝΗΣ,Κοιογενής,,Κοιογενής,born of Coios,born of Coios,born of Coios,,,,,,http://logeion.uchicago.edu/index.html#Κοιογενής
ΚΟΙΟΣ,Κοῖος,κοιος,κοῖος –α –ον,what sort of? what kind of?,"Coeus, a Titan","Coeus, a Titan",1,,,,Adjective,http://logeion.uchicago.edu/index.html#κοῖος
ΚΟΙΟΣ/2,Κοῖος,,Κοῖος,"Coeus, a Titan","Coeus, a Titan","Coeus, a Titan",,,,,,http://logeion.uchicago.edu/index.html#Κοῖος
ΚΟΙΡΑΝΗΙΟΣ,κοιρανΗΙος,,κοιρανΗΙος,belonging to a sovereign,belonging to a sovereign,belonging to a sovereign,,,,,,http://logeion.uchicago.edu/index.html#κοιρανΗΙος
ΚΟΙΡΑΝΙΑ,κοιρανία,,κοιρανία,sovereignty,sovereignty,sovereignty,,,,,,http://logeion.uchicago.edu/index.html#κοιρανία
ΚΟΙΡΑΝΙΔΑΣ,κοιρανίδας,,κοιρανίδας,son of Koiranos,son of Koiranos,son of Koiranos,,,,,,http://logeion.uchicago.edu/index.html#κοιρανίδας
ΚΟΙΡΑΝΙΔΑΣ/2,Κοιρανίδας,,Κοιρανίδας,"son of Koiranos, Polyidos","son of Koiranos, Polyidos","son of Koiranos, Polyidos",,,,,,http://logeion.uchicago.edu/index.html#Κοιρανίδας
ΚΟΙΡΑΝΙΔΗΣ,κοιρανίδης,,κοιρανίδης –ου ὁ,member of a ruling house,member of a ruling house,member of a ruling house,,,,,Noun,http://logeion.uchicago.edu/index.html#κοιρανίδης
ΚΟΙΡΑΝΙΚΟΣ,κοιρανικός,,κοιρανικός,royal,royal,royal,,,,,,http://logeion.uchicago.edu/index.html#κοιρανικός
ΚΟΙΡΑΝΟΣ,κοίρανος,,κοίρανος,"a ruler, commander","a ruler, commander","a ruler, commander",,,,,,http://logeion.uchicago.edu/index.html#κοίρανος
ΚΟΙΡΑΝΟΣ/2,Κοίρανος,,Κοίρανος,Coeranus,Coeranus,Coeranus,,,,,,http://logeion.uchicago.edu/index.html#Κοίρανος
ΚΟΙΤΑ,κοίτα,,κοίτα,"sleeping with, love-making","sleeping with, love-making","sleeping with, love-making",,,,,,http://logeion.uchicago.edu/index.html#κοίτα
ΚΟΙΤΑΖΟΜΑΙ,κοιτάζομαι,,κοιτάζομαι,go to sleep,go to sleep,go to sleep,,,,,,http://logeion.uchicago.edu/index.html#κοιτάζομαι
ΚΟΙΤΑΖΩ,κοιτάζω,,κοιτάζω,to put to bed,to put to bed,to put to bed,,,,,,http://logeion.uchicago.edu/index.html#κοιτάζω
ΚΟΙΤΑΙΟΣ,κοιταῖος,,κοιταῖος,in bed,in bed,in bed,,,,,,http://logeion.uchicago.edu/index.html#κοιταῖος
ΚΟΙΤΑΡΙΟΣ,κοιτάριος,,κοιτάριος,for beds,for beds,for beds,,,,,,http://logeion.uchicago.edu/index.html#κοιτάριος
ΚΟΙΤΑΣΙΑ,κοιτασία,,κοιτασία,cohabitation,cohabitation,cohabitation,,,,,,http://logeion.uchicago.edu/index.html#κοιτασία
ΚΟΙΤΑΣΜΟΣ,κοιτασμός,,κοιτασμός,folding,folding,folding,,,,,,http://logeion.uchicago.edu/index.html#κοιτασμός
ΚΟΙΤΑΣΤΕΟΝ,κοιταστέον,,κοιταστέον,one must put to bed,one must put to bed,one must put to bed,,,,,,http://logeion.uchicago.edu/index.html#κοιταστέον
ΚΟΙΤΑΤΗΡΙΟΝ,κοιτατήριον,,κοιτατήριον,"dormitory, bed-chamber","dormitory, bed-chamber","dormitory, bed-chamber",,,,,,http://logeion.uchicago.edu/index.html#κοιτατήριον
ΚΟΙΤΗ,κοίτη,,κοίτη ἡ,the marriage-bed,the marriage-bed,the marriage-bed,,,,,,http://logeion.uchicago.edu/index.html#κοίτη
ΚΟΙΤΙΣ,κοιτίς,,κοιτίς,box,box,box,,,,,,http://logeion.uchicago.edu/index.html#κοιτίς
ΚΟΙΤΟΣ,κοῖτος,,κοῖτος ὁ,"a place to lie on, bed","a place to lie on, bed","a place to lie on, bed",,,,,,http://logeion.uchicago.edu/index.html#κοῖτος
ΚΟΙΤΩΝ,κοιτών,,κοιτών,a bed-chamber,a bed-chamber,a bed-chamber,,,,,,http://logeion.uchicago.edu/index.html#κοιτών
ΚΟΙΤΩΝΙΑΡΧΗΣ,κοιτωνιάρχης,,κοιτωνιάρχης,chamberlain,chamberlain,chamberlain,,,,,,http://logeion.uchicago.edu/index.html#κοιτωνιάρχης
ΚΟΙΤΩΝΙΚΟΣ,κοιτωνικός,,κοιτωνικός,for a bedroom,for a bedroom,for a bedroom,,,,,,http://logeion.uchicago.edu/index.html#κοιτωνικός
ΚΟΙΤΩΝΙΤΗΣ,κοιτωνίτης,,κοιτωνίτης,chamberlain,chamberlain,chamberlain,,,,,,http://logeion.uchicago.edu/index.html#κοιτωνίτης
ΚΟΙΤΩΝΟΦΥΛΑΞ,κοιτωνοφύλαξ,,κοιτωνοφύλαξ,guardian of the bed-chamber,guardian of the bed-chamber,guardian of the bed-chamber,,,,,,http://logeion.uchicago.edu/index.html#κοιτωνοφύλαξ
ΚΟΚΚΑΛΟΣ,κόκκαλος,,κόκκαλος,kernel of the στρόβιλος,kernel of the στρόβιλος,kernel of the στρόβιλος,,,,,,http://logeion.uchicago.edu/index.html#κόκκαλος
ΚΟΚΚΑΡΙΟΝ,κοκκάριον,,κοκκάριον,pill,pill,pill,,,,,,http://logeion.uchicago.edu/index.html#κοκκάριον
ΚΟΚΚΗΡΟΣ,κοκκηρός,,κοκκηρός,made from,made from,made from,,,,,,http://logeion.uchicago.edu/index.html#κοκκηρός
ΚΟΚΚΙΖΩ,κοκκίζω,,κοκκίζω,pick the kernel out offruit,pick the kernel out offruit,pick the kernel out offruit,,,,,,http://logeion.uchicago.edu/index.html#κοκκίζω
ΚΟΚΚΙΝΙΖΩ,κοκκινίζω,,κοκκινίζω,to be scarlet,to be scarlet,to be scarlet,,,,,,http://logeion.uchicago.edu/index.html#κοκκινίζω
ΚΟΚΚΙΝΟΕΙΔΗΣ,κοκκινοειδής,,κοκκινοειδής,like the scarlet berry,like the scarlet berry,like the scarlet berry,,,,,,http://logeion.uchicago.edu/index.html#κοκκινοειδής
ΚΟΚΚΙΝΟΣ,κόκκινος,,κόκκινος,scarlet,scarlet,scarlet,,,,,,http://logeion.uchicago.edu/index.html#κόκκινος
ΚΟΚΚΙΟΝ,κοκκίον,,κοκκίον,pill,pill,pill,,,,,,http://logeion.uchicago.edu/index.html#κοκκίον
ΚΟΚΚΙΣ,κοκκίς,,κοκκίς,scarlet slippers,scarlet slippers,scarlet slippers,,,,,,http://logeion.uchicago.edu/index.html#κοκκίς
ΚΟΚΚΟΒΑΦΗΣ,κοκκοβαφής,,κοκκοβαφής,"scarlet-dyed, scarlet","scarlet-dyed, scarlet","scarlet-dyed, scarlet",,,,,,http://logeion.uchicago.edu/index.html#κοκκοβαφής
ΚΟΚΚΟΒΑΦΙΑ,κοκκοβαφία,,κοκκοβαφία,scarlet raiment,scarlet raiment,scarlet raiment,,,,,,http://logeion.uchicago.edu/index.html#κοκκοβαφία
ΚΟΚΚΟΔΑΦΝΟΝ,κοκκόδαφνον,,κοκκόδαφνον,laurel berry,laurel berry,laurel berry,,,,,,http://logeion.uchicago.edu/index.html#κοκκόδαφνον
ΚΟΚΚΟΘΡΑΥΣΤΗΣ,κοκκοθραύστης,,κοκκοθραύστης,grosbeak,grosbeak,grosbeak,,,,,,http://logeion.uchicago.edu/index.html#κοκκοθραύστης
ΚΟΚΚΟΛΑΧΑΝΟΝ,κοκκολάχανον,,κοκκολάχανον,maccum,maccum,maccum,,,,,,http://logeion.uchicago.edu/index.html#κοκκολάχανον
ΚΟΚΚΟΛΕΚΤΗΣ,κοκκολέκτης,,κοκκολέκτης,gatherer of grains,gatherer of grains,gatherer of grains,,,,,,http://logeion.uchicago.edu/index.html#κοκκολέκτης
ΚΟΚΚΟΛΟΓΕΩ,κοκκολογέω,,κοκκολογέω,sift grains,sift grains,sift grains,,,,,,http://logeion.uchicago.edu/index.html#κοκκολογέω
ΚΟΚΚΟΡΙΖΟΝ,κοκκόριζον,,κοκκόριζον,drug,drug,drug,,,,,,http://logeion.uchicago.edu/index.html#κοκκόριζον
ΚΟΚΚΟΣ,κόκκος,,κόκκος,"a grain, seed","a grain, seed","a grain, seed",,,,,,http://logeion.uchicago.edu/index.html#κόκκος
ΚΟΚΚΥ,κόκκυ,,κόκκυ,cuckoo!,cuckoo!,cuckoo!,,,,,,http://logeion.uchicago.edu/index.html#κόκκυ
ΚΟΚΚΥΒΟΑΣ,κοκκυβόας,,κοκκυβόας,"cock, 'chanticleer","cock, 'chanticleer","cock, 'chanticleer",,,,,,http://logeion.uchicago.edu/index.html#κοκκυβόας
ΚΟΚΚΥΓΕΑ,κοκκυγέα,,κοκκυγέα,"wig-tree, Rhus Cotinus","wig-tree, Rhus Cotinus","wig-tree, Rhus Cotinus",,,,,,http://logeion.uchicago.edu/index.html#κοκκυγέα
ΚΟΚΚΥΓΙΝΟΣ,κοκκύγινος,,κοκκύγινος,purple-red,purple-red,purple-red,,,,,,http://logeion.uchicago.edu/index.html#κοκκύγινος
ΚΟΚΚΥΖΩ,κοκκύζω,,κοκκύζω,to cry cuckoo,to cry cuckoo,to cry cuckoo,,,,,,http://logeion.uchicago.edu/index.html#κοκκύζω
