TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΑΙΣΑ,αἶσα,,αἶσα –ης ἡ,"share, portion","share, portion","share, portion",1,,,0,Noun,http://logeion.uchicago.edu/index.html#αἶσα
ΑΙΣΘΑΝΟΜΑΙ,αἰσθάνομαι,αΙσθανομαι,αἰσθάνομαι αἰσθήσομαι ᾐσθόμην ––– ᾔσθημαι –––,"perceive, understand","to perceive, apprehend by the senses, to see, hear, feel","to perceive, apprehend by the senses, to see, hear, feel",,,,,Verb,http://logeion.uchicago.edu/index.html#αἰσθάνομαι
ΑΙΣΣΩ,ἀίσσω,Αισσω,ἀίσσω ––– ἤῑξα ἀίξασκον ––– ἠίχθην,dart,"to move with a quick shooting motion, to shoot, dart, glance","to move with a quick shooting motion, to shoot, dart, glance",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀίσσω
ΑΙΣΤΟΩ/2,ἀιστόω,,ἀϊστόω ἀϊστώσω ἠΐστωσα/ᾔστωσα ––– ––– ἠϊστώθην,"to make unseen, to annihilate","to make unseen, to annihilate","to make unseen, to annihilate",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀϊστόω
ΑΙΣΧΡΟΣ,αἰσχρός,αΙσχρος,αἰσχρός –ή –όν,"ugly, shameful","causing shame, abusive","causing shame, abusive",1,,,0,Adjective,http://logeion.uchicago.edu/index.html#αἰσχρός
ΑΙΣΧΥΝΩ,αἰσχύνω,αΙσχυνω,αἰσχύνω αἰσχυνῶ ᾔσχυνα ––– ––– ᾐσχύνθην,"make ugly, disfigure","to make ugly, disfigure, mar","to make ugly, disfigure, mar",0,,,0,Verb,http://logeion.uchicago.edu/index.html#αἰσχύνω
ΑΙΤΕΩ,αἰτέω,αΙτεω,αἰτέω αἰτήσω ᾔτησα ᾔτηκα ᾔτημαι ᾔτηθην,"ask, beg","to ask, beg; postulate","to ask, beg; postulate",0,,,0,Verb,http://logeion.uchicago.edu/index.html#αἰτέω
ΑΙΤΙΑ,αἰτία,αιτια,αἰτία –ας ἡ,"charge, accusation","a charge, accusation","a charge, accusation",1,,,0,Noun,http://logeion.uchicago.edu/index.html#αἰτία
ΑΙΤΙΟΣ,αἴτιος,αιτιος,αἴτιος –α –ον,"blameworthy, culpable","to blame, blameworthy, culpable","to blame, blameworthy, culpable",1,,,,Adjective,http://logeion.uchicago.edu/index.html#αἴτιος
ΑΙΧΜΗ,αἰχμή,αΙχμη,αἱχμή –ῆς ἡ,"spear-point, spear",the point of a spear,the point of a spear,1,,,,Noun,http://logeion.uchicago.edu/index.html#αἱχμή
ΑΚΗΔΕΩ,ἀκηδέω,,ἀκηδέω ἀκηδήσω ἀκήδεσα ––– ––– –––,"to take no care for, no heed of","to take no care for, no heed of","to take no care for, no heed of",,,,,Verb,http://logeion.uchicago.edu/index.html#ἀκηδέω
ΑΚΛΗΤΟΣ,ἄκλητος,,ἄκλητος –ον,"uncalled, unbidden","uncalled, unbidden","uncalled, unbidden",1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἄκλητος
ΑΚΟΗ,ἀκοή,Ακοη,ἀκοή –ής ἡ,"a hearing, report, what is heard","a hearing, the sound heard","a hearing, the sound heard",1,,,,Noun,http://logeion.uchicago.edu/index.html#ἀκοή
ΑΚΟΣ,ἄκος,,ἄκος –ους τό,"a cure, relief, remedy for","a cure, relief, remedy for","a cure, relief, remedy for",3,,,0,Noun,http://logeion.uchicago.edu/index.html#ἄκος
ΑΚΟΥΩ,ἀκούω,Ακουω,ἀκούω ἀκούσομαι ἤκουσα ἀκήκοα ––– ἠκούσθην,"hear, listen",to hear,to hear,0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀκούω
ΑΚΡΙΒΗΣ,ἀκριβής,Ακριβης,ἀκριβής –ές,"exact, accurate, precise","exact, accurate, precise, made","exact, accurate, precise, made",3,,,,Adjective,http://logeion.uchicago.edu/index.html#ἀκριβής
ΑΚΡΟΝ,ἄκρον,ακρον,ἄκρον –ου τό,"the top of the mountain, hike","the highest; the top of the mountain, hike","the highest; the top of the mountain, hike",2,,,0,Noun,http://logeion.uchicago.edu/index.html#ἄκρον
ΑΚΩΝ,ἄκων,,ἄκων –οντος ὁ,"a javelin, dart","a javelin, dart","a javelin, dart",3,,,0,Noun,http://logeion.uchicago.edu/index.html#ἄκων
ΑΛΑΟΜΑΙ,ἀλάομαι,,ἀλάομαι ἀλήσομαι ἀλάλημαι ἠλήθην,"to wander, stray","to wander, stray","to wander, stray",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀλάομαι
ΑΛΑΟΣ,ἀλαός,,ἀλαός –όν,blind,blind,blind,1,,,,Adjective,http://logeion.uchicago.edu/index.html#ἀλαός
ΑΛΓΕΙΝΟΣ,ἀλγεινός,,ἀλγεινός –ή –όν,"giving pain, painful, grievous","giving pain, painful, grievous","giving pain, painful, grievous",1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἀλγεινός
ΑΛΓΙΩΝ,ἀλγίων,,ἀλγίων –ον,more painful,more painful,more painful,3,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἀλγίων
ΑΛΓΟΣ,ἄλγος,αλγος,ἄλγος –ους τό,pain,pain,pain,3,,,0,Noun,http://logeion.uchicago.edu/index.html#ἄλγος
ΑΛΓΥΝΩ,ἀλγύνω,,ἀλγύνω ἀλγυνῶ ἤλγυνα ––– ––– –––,"to pain, grieve, distress","to pain, grieve, distress","to pain, grieve, distress",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀλγύνω
ΑΛΚΗ,ἀλκή,Αλκη,ἀλκή –ής ἡ,strength,strength,strength,1,,,0,Noun,http://logeion.uchicago.edu/index.html#ἀλκή
ΑΛΛΑ,ἀλλά,Αλλα,ἀλλά,but,"otherwise, but","otherwise, but",0,,,0,Conjunction,http://logeion.uchicago.edu/index.html#ἀλλά
ΑΛΛΑΣΣΩ,ἀλλάσσω,,ἀλλάσσω ἀλλάξω ἤλλαξα ἤλλαχα ἤλλαγμαι ἠλλάχθην,"to make other than it is, to change, alter","to make other than it is, to change, alter","to make other than it is, to change, alter",,,,,Verb,http://logeion.uchicago.edu/index.html#ἀλλάσσω
ΑΛΛΗΛΩΝ,ἀλλήλων,Αλληλων,ἀλλήλων –οις,each other,"of one another, to one another, one another","of one another, to one another, one another",,,,,Pronoun,http://logeion.uchicago.edu/index.html#ἀλλήλων
ΑΛΛΟΣ,ἄλλος,αλλος,ἄλλος ἄλλη ἄλλο,"other, another","other, another","other, another",0,,,0,Pronoun,http://logeion.uchicago.edu/index.html#ἄλλος
ΑΛΛΟΤΕ,ἄλλοτε,,ἄλλοτε,"at another time, at other times","at another time, at other times","at another time, at other times",,,,,Adverb,http://logeion.uchicago.edu/index.html#ἄλλοτε
ΑΛΛΩΣ,ἄλλως,αλλως,ἄλλως,"otherwise, at random, in vain",in another way,in another way,0,,,0,Adverb,http://logeion.uchicago.edu/index.html#ἄλλως
ΑΛΥΣΚΩ,ἀλύσκω,,ἀλύσκω ἀλύξω ἤλυξα ––– ––– –––,"to flee from, shun, avoid, forsake","to flee from, shun, avoid, forsake","to flee from, shun, avoid, forsake",,,,,Verb,http://logeion.uchicago.edu/index.html#ἀλύσκω
ΑΜΑ,ἅμα,Αμα,ἅμα,"at once, at the same time","at once, at the same time","at once, at the same time",0,,,0,Adverb,http://logeion.uchicago.edu/index.html#ἅμα
ΑΜΑΡΤΑΝΩ,ἁμαρτάνω,Αμαρτανω,ἁμαρτάνω ἁμαρτήσομαι ἥμαρτον ἡμάρτηκα ἡμάρτημαι ἡμαρτήθην,"miss, err, fail, go wrong","to miss, miss the mark","to miss, miss the mark",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἁμαρτάνω
ΑΜΑΡΤΙΑ,ἁμαρτία,Αμαρτια,ἁμαρτία –ας ἡ,"error, failure, sin","a failure, fault, sin","a failure, fault, sin",1,,,,Noun,http://logeion.uchicago.edu/index.html#ἁμαρτία
